year, dtgini, dwgini, mtgini, mwgini, mtpvty, dtpvty, mwpvty, dwpvty, dwfive, dtfive
2006, 0.306,  ,       0.330,  ,       52.3,   42.8,   ,       ,       ,       5.38
2007, 0.312,  ,       0.340,  ,       53.7,   43.6,   ,       ,       ,       5.60
2008, 0.314,  ,       0.344,  ,       53.9,   44.1,   ,       ,       ,       5.71
2009, 0.314,  ,       0.345,  ,       57.3,   45.9,   ,       ,       ,       5.75
2010, 0.310,  ,       0.341,  ,       59.1,   46.3,   ,       ,       ,       5.66
2011, 0.311,  0.387,  0.342,  0.418,  60.2,   47.6,   57.0,   46.5,   8.25,   5.73
2012, 0.307,  0.383,  0.338,  0.411,  60.3,   47.2,   55.6,   45.2,   8.01,   5.54
2013, 0.302,  0.370,  0.336,  0.401,  61.3,   48.1,   55.8,   46.2,   7.58,   5.43
2014, 0.302,  0.361,  0.341,  0.397,  62.5,   47.4,   56.2,   44.4,   7.27,   5.41
2015, 0.295,  0.350,  0.341,  0.396,  63.2,   44.8,   56.9,   43.1,   6.81,   5.11
2016, 0.304,  0.353,  0.353,  0.402,  65.5,   46.5,   57.7,   43.5,   6.87,   5.45
2017, ,       0.352,  ,       0.406,  ,       ,       57.0,   42.1,   6.84,
2018, ,       0.342,  ,       0.402,  ,       ,       58.9,   42.0,   6.43,
2019, ,       0.336,  ,       0.404,  ,       ,       59.2,   41.4,   6.17,
2020, ,       0.328,  ,       0.405,  ,       ,       59.0,   39.1,   5.75,
2021, ,       0.329,  ,       0.405,  ,       ,       57.9,   37.6,   5.83,
2022, ,       0.324,  ,       0.396,  ,       ,       57.1,   38.1,   5.76,
2023, ,       0.323,  ,       0.392,  ,       ,       55.5,   38.2,   5.72,
