C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,ITM_NM_ENG,C2_NM_ENG,ORG_ID,C2_OBJ_NM,UNIT_NM_ENG,UNIT_NM
행정구역별,소계,1773,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,1808,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,1861,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2055,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2241,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2380,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2385,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2456,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,2630,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,4013,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
