시군구,종류,시작년도,종료년도,url,orgId,tblId
부산광역시,종사자규모별,1995,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=1620213103303250T1+1620213103303250T2+1620213103303252T3+1620213103303252T4+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=202&tblId=DT_402,202,DT_402
부산광역시,산업별,2017,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=16202bsy40140+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=202&tblId=DT_202N_BSY4061,202,DT_202N_BSY4061
부산광역시,산업별,2007,2016,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=16202bsy40140+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=202&tblId=DT_202N_BSY406,202,DT_202N_BSY406
대구광역시,종사자규모별,2000,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=1620313103111026T1+1620313103111036T3+1620313103111026T2+1620313103111036T4+1620313103111036T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=203&tblId=DT_D20001,203,DT_D20001
대구광역시,산업별,2000,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=1620313103111029T1+1620313103111029T3+1620313103111029T2+1620313103111029T4+1620313103111029T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=203&tblId=DT_D50002,203,DT_D50002
인천광역시,종사자규모별,2012,2022,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=204&tblId=DT_20402_D000002,204,DT_20402_D000002
인천광역시,산업별,2012,2022,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=204&tblId=DT_20402_D000003,204,DT_20402_D000003
광주광역시,종사자규모별,2012,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=205&tblId=DT_20503_D001002,205,DT_20503_D001002
광주광역시,산업별,2012,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=205&tblId=DT_20503_D001003,205,DT_20503_D001003
대전광역시,종사자규모별,2012,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_6+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=206&tblId=DT_20603_D001002,206,DT_20603_D001002
대전광역시,산업별,2012,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_6+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=206&tblId=DT_20603_D001003,206,DT_20603_D001003
울산광역시,종사자규모별,1995,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=1620713103500343T00+16207T5128+1620713103500343T05+16207T1191+16207T2906+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=207&tblId=DT_2071D02,207,DT_2071D02
울산광역시,산업별,2002,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=162070505+16207T5128+162070510+1620713103500003T3+1620713103500003T4+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=207&tblId=DT_2071D03_1,207,DT_2071D03_1
