cname,iso2,iso3,group,grtype,care
France,fr,fra,1,1,.7906936970194938
France,fr,fra,2,1,.8547228274607003
France,fr,fra,3,1,.8171563873701534
France,fr,fra,4,1,.7106778360413635
France,fr,fra,5,1,.6094662869085111
France,fr,fra,6,1,.5678368404980942
France,fr,fra,7,1,.5457784924048764
France,fr,fra,8,1,.5409208909859826
France,fr,fra,9,1,.5336510790560109
France,fr,fra,10,1,.540809402109272
France,fr,fra,1,2,.7799451905719124
France,fr,fra,2,2,.7794758052019196
France,fr,fra,3,2,.
France,fr,fra,4,2,.
France,fr,fra,5,2,.
France,fr,fra,6,2,.
France,fr,fra,7,2,.7991618963285556
France,fr,fra,8,2,.
France,fr,fra,9,2,.8061654700102211
France,fr,fra,10,2,.8261607422560961
France,fr,fra,11,2,.8274917014823796
France,fr,fra,12,2,.8423345968602929
France,fr,fra,13,2,.8180515941486436
France,fr,fra,14,2,.8573154113739633
France,fr,fra,15,2,.8639070910797993
France,fr,fra,16,2,.844248740638924
France,fr,fra,17,2,.8545042818564633
France,fr,fra,18,2,.8828004131659808
France,fr,fra,19,2,.8676266288055027
France,fr,fra,20,2,.880485759410213
France,fr,fra,21,2,.8332713139634593
France,fr,fra,22,2,.8428577820927784
France,fr,fra,23,2,.8211931254695447
France,fr,fra,24,2,.8453223049769267
France,fr,fra,25,2,.8166011527618851
France,fr,fra,26,2,.8405979014757313
France,fr,fra,27,2,.8107316616150313
France,fr,fra,28,2,.800329521575461
France,fr,fra,29,2,.7840462196230318
France,fr,fra,30,2,.776820123736384
France,fr,fra,31,2,.7838317038389141
France,fr,fra,32,2,.7554292781172357
France,fr,fra,33,2,.7649943447785608
France,fr,fra,34,2,.7151346935914379
France,fr,fra,35,2,.7101892907399164
France,fr,fra,36,2,.6968363418176762
France,fr,fra,37,2,.6869730765279431
France,fr,fra,38,2,.6845715330441606
France,fr,fra,39,2,.6591259109779379
France,fr,fra,40,2,.6496467139768767
France,fr,fra,41,2,.6429381176427922
France,fr,fra,42,2,.6437010202963352
France,fr,fra,43,2,.6408959778566455
France,fr,fra,44,2,.6019281196479378
France,fr,fra,45,2,.5995497000221228
France,fr,fra,46,2,.5961200397135106
France,fr,fra,47,2,.591197169439073
France,fr,fra,48,2,.5948839299153129
France,fr,fra,49,2,.5986873648391647
France,fr,fra,50,2,.5847405320828232
France,fr,fra,51,2,.5850506744860073
France,fr,fra,52,2,.5864564341641952
France,fr,fra,53,2,.5687356415746645
France,fr,fra,54,2,.5717497375733699
France,fr,fra,55,2,.5784527393740325
France,fr,fra,56,2,.5752276755676998
France,fr,fra,57,2,.5626848235678019
France,fr,fra,58,2,.5581402718162397
France,fr,fra,59,2,.5439334198419272
France,fr,fra,60,2,.5479172813555875
France,fr,fra,61,2,.5530286583405353
France,fr,fra,62,2,.5542073263121822
France,fr,fra,63,2,.5516316916766865
France,fr,fra,64,2,.542497578694372
France,fr,fra,65,2,.553613903874952
France,fr,fra,66,2,.5287839748347744
France,fr,fra,67,2,.5435023438523575
France,fr,fra,68,2,.5480894297000491
France,fr,fra,69,2,.5423689779506232
France,fr,fra,70,2,.5401103852487231
France,fr,fra,71,2,.5442653264739398
France,fr,fra,72,2,.5371117804463695
France,fr,fra,73,2,.5421587782397693
France,fr,fra,74,2,.5467565849083366
France,fr,fra,75,2,.5411547146887397
France,fr,fra,76,2,.5502566162035324
France,fr,fra,77,2,.5446250222211896
France,fr,fra,78,2,.5312911430776487
France,fr,fra,79,2,.5333692391522202
France,fr,fra,80,2,.5382115425530307
France,fr,fra,81,2,.5293559602848439
France,fr,fra,82,2,.5333525531366603
France,fr,fra,83,2,.5412275722706565
France,fr,fra,84,2,.5288421426940593
France,fr,fra,85,2,.5306655001869683
France,fr,fra,86,2,.5265198184024188
France,fr,fra,87,2,.5419822372016251
France,fr,fra,88,2,.5408236110680577
France,fr,fra,89,2,.530012996246091
France,fr,fra,90,2,.5337492520913214
France,fr,fra,91,2,.5307058226485908
France,fr,fra,92,2,.5375847243099358
France,fr,fra,93,2,.5332152288269438
France,fr,fra,94,2,.5454280379065694
France,fr,fra,95,2,.528986655029174
France,fr,fra,96,2,.5380606070362134
France,fr,fra,97,2,.5409771575246972
France,fr,fra,98,2,.5308489356255502
France,fr,fra,99,2,.5471912879383136
France,fr,fra,100,2,.5750954472694723
Sweden,se,swe,1,1,.32076902506925
Sweden,se,swe,2,1,.770981348302191
Sweden,se,swe,3,1,.6792653411421542
Sweden,se,swe,4,1,.4335989649317432
Sweden,se,swe,5,1,.2748412029585163
Sweden,se,swe,6,1,.1631765148045917
Sweden,se,swe,7,1,.1283106632059799
Sweden,se,swe,8,1,.1164127074927963
Sweden,se,swe,9,1,.1253126846070511
Sweden,se,swe,10,1,.1159368269714977
Sweden,se,swe,1,2,.229446378359364
Sweden,se,swe,2,2,.
Sweden,se,swe,3,2,.
Sweden,se,swe,4,2,.
Sweden,se,swe,5,2,.
Sweden,se,swe,6,2,.1580728657343299
Sweden,se,swe,7,2,.2894546267199412
Sweden,se,swe,8,2,.4469826311661302
Sweden,se,swe,9,2,.581081756602482
Sweden,se,swe,10,2,.539462281131349
Sweden,se,swe,11,2,.7753020443813224
Sweden,se,swe,12,2,.72956862249452
Sweden,se,swe,13,2,.6793784287889383
Sweden,se,swe,14,2,.8562876377559012
Sweden,se,swe,15,2,.8290637717525203
Sweden,se,swe,16,2,.8122978485216539
Sweden,se,swe,17,2,.8437967899584209
Sweden,se,swe,18,2,.8149064708781091
Sweden,se,swe,19,2,.7246394403286064
Sweden,se,swe,20,2,.6479709340323561
Sweden,se,swe,21,2,.7784012534337276
Sweden,se,swe,22,2,.8066747493286084
Sweden,se,swe,23,2,.717061099581128
Sweden,se,swe,24,2,.7848839365185551
Sweden,se,swe,25,2,.7485619040437088
Sweden,se,swe,26,2,.6269774407235257
Sweden,se,swe,27,2,.7227412481447173
Sweden,se,swe,28,2,.5512679883323215
Sweden,se,swe,29,2,.4833881967404834
Sweden,se,swe,30,2,.5738732381293845
Sweden,se,swe,31,2,.5168620303553695
Sweden,se,swe,32,2,.5705144047228131
Sweden,se,swe,33,2,.4693797617307973
Sweden,se,swe,34,2,.4829223971160507
Sweden,se,swe,35,2,.4519816730669108
Sweden,se,swe,36,2,.3587735082355907
Sweden,se,swe,37,2,.3741700006599436
Sweden,se,swe,38,2,.4008037421420687
Sweden,se,swe,39,2,.4164992610582535
Sweden,se,swe,40,2,.2954404457473778
Sweden,se,swe,41,2,.2713525034885876
Sweden,se,swe,42,2,.3643930107244736
Sweden,se,swe,43,2,.363353508584041
Sweden,se,swe,44,2,.280134504964283
Sweden,se,swe,45,2,.3202673137439523
Sweden,se,swe,46,2,.2375872936497637
Sweden,se,swe,47,2,.2307837007033592
Sweden,se,swe,48,2,.2229940064633111
Sweden,se,swe,49,2,.2320566649262863
Sweden,se,swe,50,2,.2242102143666743
Sweden,se,swe,51,2,.1797650263568927
Sweden,se,swe,52,2,.2147522889286071
Sweden,se,swe,53,2,.1742626139614734
Sweden,se,swe,54,2,.1529751574092026
Sweden,se,swe,55,2,.1365165473949697
Sweden,se,swe,56,2,.1541361015642698
Sweden,se,swe,57,2,.1863891797289254
Sweden,se,swe,58,2,.139178291151657
Sweden,se,swe,59,2,.1652595856680676
Sweden,se,swe,60,2,.1294230822152846
Sweden,se,swe,61,2,.1331743759114875
Sweden,se,swe,62,2,.1153760193921946
Sweden,se,swe,63,2,.1537862513932333
Sweden,se,swe,64,2,.1301919014568456
Sweden,se,swe,65,2,.1451411572789761
Sweden,se,swe,66,2,.0729336658174634
Sweden,se,swe,67,2,.1443603074036498
Sweden,se,swe,68,2,.1268583300520605
Sweden,se,swe,69,2,.0979423932372157
Sweden,se,swe,70,2,.1635534614936963
Sweden,se,swe,71,2,.0820691403912378
Sweden,se,swe,72,2,.0857535529151987
Sweden,se,swe,73,2,.1742836021331045
