cname,iso2,dcgroup,hunm,numm,numf,num17,num1864,num65
France,fr,1,6474231,.4375804632241265,.5624195367758734,.1041237175503932,.3276520408369735,.5682240871541346
France,fr,2,6402689,.4380351755332799,.5619648244667201,.079441622105962,.2680041151459957,.6525542627480423
France,fr,3,6440641,.458353912289165,.541646087710835,.1861842633365219,.4374702766386141,.376345460024864
France,fr,4,6436636,.4759058924568672,.5240941075431328,.3060617378394553,.5536867394707422,.1402513673291452
France,fr,5,6437522,.4907670995143784,.5092329004856216,.2975073327904744,.6141543283269556,.08833833888257
France,fr,6,6438460,.498384551585317,.501615448414683,.2825571642908397,.6687714142822974,.0486714214268629
France,fr,7,6438383,.5074132744199903,.4925865702615082,.2700741785631579,.697725500331372,.0322001657869686
France,fr,8,6438980,.5061348225961255,.4938651774038745,.2507749674637909,.722768357721254,.0264566748149552
France,fr,9,6439313,.508478621865407,.4915212228385233,.2149081742105097,.7602783091923004,.0248135165971898
France,fr,10,6436306,.5221659753280842,.4778340246719158,.2042273937876788,.7556343654263796,.0401382407859415
France,fr,11,64383160,.4843202011209142,.5156797988790858,.2195957296908073,.580640651996578,.1997636183126147
Japan,jp,1,9517272,.4779309659322545,.5220691391398712,.02161165510453,.2065015058937057,.7718868390017644
Japan,jp,2,9472305,.460059510330379,.5399403840986962,.0734408362061821,.3987978638779051,.5252876675740488
Japan,jp,3,9422083,.5095813738851589,.490418626114841,.1194823904650384,.4866061994996223,.3910663915824134
Japan,jp,4,9498616,.516981842407357,.4825291389819317,.2021485024765713,.56226591326568,.233342625915186
Japan,jp,5,9461119,.4893237258721722,.5106762741278278,.182562548890887,.5923551960397073,.2245750211999236
Japan,jp,6,9413760,.462196933000204,.5378031732272758,.1905685932082399,.6450482060303215,.1517161049357536
Japan,jp,7,9460669,.4901950380041834,.5098049619958166,.2455180495163714,.6390302842219721,.1088231709617998
Japan,jp,8,9469850,.4973019636002682,.5026980363997318,.1853683004482647,.6939863883799637,.1206452055734779
Japan,jp,9,9454724,.4956196500289168,.5043803499710833,.1376928612617354,.7730960734549205,.0892110652833441
Japan,jp,10,9459244,.4949117498184845,.5043845998686576,.1096828668337554,.7794596481494716,.1101539404206087
Japan,jp,11,125135717,.4899729067760886,.5097929953923547,.1428667644106758,.5697617491575168,.2842710606756663
South Korea,kr,1,5367268,.4136422850507931,.586357714949207,.0533543322226503,.3036662227412531,.6429792587215694
South Korea,kr,2,5358279,.4674577415621695,.5325422584378305,.1539464443714111,.498741480240204,.347312075388385
South Korea,kr,3,5362384,.4793224431521502,.5206773703636293,.1760508012853984,.6207188817511018,.2032303169634998
South Korea,kr,4,5366770,.4837772067742795,.5162229795575365,.2016874209254356,.6580244728207096,.1402881062538547
South Korea,kr,5,5359953,.4863283316103705,.5136716683896295,.2137815387560301,.6921624126181704,.0940560486257995
South Korea,kr,6,5369814,.4889046436245278,.5110953563754722,.2176762547082636,.6983832214672613,.0839405238244751
South Korea,kr,7,5364099,.5104559032187884,.4895440967812115,.2075863998781529,.7118200092876735,.0805935908341736
South Korea,kr,8,5354237,.5076299386822063,.4923700613177938,.1862829381665399,.760688404342206,.0530286574912541
South Korea,kr,9,5363518,.5054710359879467,.4945291504568457,.179198801980342,.76946287865539,.051338319364268
South Korea,kr,10,5359750,.5005296888847428,.4994703111152572,.1751217873968002,.7717072624656001,.0531709501375997
South Korea,kr,11,53626072,.4843442197295375,.5156557616228166,.1764648919279413,.6485047795408174,.1750303098835954
Sweden,se,1,1023085,.4601318561018879,.5398681438981121,.1652326053064995,.4760406026869713,.3587267920065293
Sweden,se,2,1021870,.4469913002632429,.5530096783348175,.0769432510984763,.2360711245070312,.6869866029925529
