cname,iso2,year,hnum,numt1,numt2,numt3,numt4,numt5,numt6,numt7,numt8,numt9
France,fr,2010,61584905,.0586934736685881,.0776050884547114,.0943490779112187,.1606593693698155,.1309471533649358,.0536857855021454,.3375186825407947,.0822671074998005,.0042742616879899
France,fr,2011,61874829,.058527240535889,.0805098952273468,.0987549072660872,.1551055922918187,.1303880290319671,.0507814251898781,.3381396981315294,.0822492939738064,.0055439183516774
France,fr,2012,62133003,.0600238491611294,.0826202622139477,.0984614408545487,.1505898081249992,.1316170409468218,.0510188602987691,.3404164611197047,.079435368671944,.0058169086081354
France,fr,2013,62404291,.063363591455594,.0827242312551872,.0958665646886366,.1501720130110925,.1272446954008339,.0539348327825726,.3373912220234984,.0841022454689855,.0052006199381385
France,fr,2014,62764987,.0640565575198797,.0864625686929562,.0966201108270762,.1460763785388819,.1266225547055399,.0559139923027468,.3395119638915882,.0782433683926358,.0064925051286954
France,fr,2015,63087583,.0645338243501895,.0891617768903906,.0967794248830233,.1433259378473891,.1292598101277711,.0589315491766423,.334613469024483,.0777188912119204,.0056753164881907
France,fr,2016,63299922,.0661843311592074,.0922053426858883,.0991044033198019,.142847395609745,.1256085276060846,.0576674644243637,.3330720691883317,.0770732703272525,.0062371798815171
France,fr,2017,63469156,.0686326599332753,.0937561072972201,.0990917856226101,.1417188059031382,.1253948295767475,.0588767873327321,.3296096295970912,.0776514028325822,.0052679761489187
France,fr,2018,63653447,.0704188887052731,.0953439018000078,.0997688938982362,.1424960379600495,.1236732552755548,.0619148873430217,.3274435554134248,.073702450080983,.0052381452335174
France,fr,2019,64019177,.0689469813084289,.0990177989948231,.102421247933256,.139260490649544,.1261909224481283,.062655553975647,.3212457104845318,.0741076693316442,.0061536092536772
Japan,jp,2010,127645938,.0201116858101666,.076376006575313,.018673253824967,.0551519547766573,.4129027435248273,.0075505575430062,.210251093144852,.128510348680269,.0704723639541119
Japan,jp,2011,127491360,.0211611908446188,.079810451469025,.0228282214575168,.0543425138770188,.4120874622405785,.0109896702019651,.1875445441949949,.1313704787524425,.0798654669618396
Japan,jp,2012,127250768,.0222920776399558,.0791709485006802,.0207621300957492,.0541080977994569,.4304626750857802,.0056639422404115,.1956838091539062,.1194805441174233,.0723757910836342
Japan,jp,2013,127038613,.0194008966391974,.0777844685694105,.0220780354395085,.0539735033158777,.4378836377881424,.0054176677763319,.1939816597336433,.1183859823784443,.0710941404878216
Japan,jp,2014,126845084,.021413742766728,.090219081726494,.0196869356009098,.056212820987213,.4264837571474193,.0072610933822236,.1934391560653624,.1191516259313605,.0661317706250248
Japan,jp,2015,126656700,.0227677651478366,.1032236904956469,.0225300911834905,.0495897808801271,.4197007027658229,.0078711903910334,.1956302509065845,.1116238856688987,.0670626504559175
Japan,jp,2016,126461259,.0234865366950048,.1046502628919739,.0252691537730144,.0508998016538804,.4096537976108557,.0060498527853499,.1997100313543455,.104821904390498,.0754586667526377
Japan,jp,2017,126215288,.0262700822740269,.1105326955320975,.0214151236576032,.0469262012063071,.4268386409735087,.0064500902616488,.1876958994064174,.1049787090768275,.0688925655345334
Japan,jp,2018,125918135,.0244470742836209,.1040288914698427,.0215342293625934,.0578541129123299,.4096035412214452,.0063291995231664,.1960966305608005,.1273793882032957,.0527269324629054
Japan,jp,2019,125555202,.0251703310548614,.1021155778157244,.0208809906577985,.0562323893198786,.4228110038801897,.0066957480582923,.1968201604263279,.1204473710296766,.0488264357218747
South Korea,kr,2012,48669328,.0294183844083485,.0502527176869999,.0389756562901382,.0891391596777338,.2276439280197171,.0326586387221126,.3853002860446316,.0969711354962616,.0496400936540566
South Korea,kr,2014,48847196,.0377579093792815,.0567227031823894,.0434812675839162,.0940065833052116,.226089661318533,.0340420973191583,.3874201294993473,.0842355209089177,.0362441479752492
South Korea,kr,2016,54973885,.0289171121888147,.0544728465161231,.0377466864493932,.0829322504676539,.3357598430600275,.0125228369797769,.3126446311735108,.1022751257256059,.032728667439094
South Korea,kr,2017,54738337,.0311316363155132,.0597333638396797,.0383462690874222,.0851098198324878,.332107860711954,.0120122027090447,.3165560181340548,.0940570956695305,.0309457337003132
South Korea,kr,2018,54060917,.0351966467753405,.0649197644945608,.0405673843823256,.088786618251407,.3419597377528761,.0119977432125319,.3024083738720155,.0862111532440339,.0279525410196057
South Korea,kr,2019,53668000,.0396738279794291,.0739128158306626,.0430375270179623,.0899296414995901,.337267272862786,.012509465603339,.2984434113438175,.0781791570395767,.0270468808228367
