cname,iso2,iso3,dcgroup,aisolt,xisolt
France,fr,fra,1,.0663531466007838,.1224825508763911
France,fr,fra,2,.0588249613668396,.1334375913590162
France,fr,fra,3,.0542590185583235,.1382055866857658
France,fr,fra,4,.0478652414744602,.1396622527824353
France,fr,fra,5,.0383912086225412,.1434630516350184
France,fr,fra,6,.0357463939260105,.143296958088639
France,fr,fra,7,.0369097616507457,.1385634462814882
France,fr,fra,8,.033951406758435,.1438070019961233
France,fr,fra,9,.0301817015787706,.153045007349184
France,fr,fra,10,.0271588645642691,.1636626789773661
Sweden,se,swe,1,.0585806908692955,.0894234777429995
Sweden,se,swe,2,.0652685448602457,.1035557012781355
Sweden,se,swe,3,.0483327795409241,.1094118985525541
Sweden,se,swe,4,.037849015897763,.1115427765004402
Sweden,se,swe,5,.0358976381715036,.1047081251737948
Sweden,se,swe,6,.0357608400029065,.1013319325970039
Sweden,se,swe,7,.0345293895173024,.1017210291750223
Sweden,se,swe,8,.0327866839540171,.1119754079832727
Sweden,se,swe,9,.0285067323155817,.1262398735666146
Sweden,se,swe,10,.0244199634668583,.1414944202552835
South Korea,kr,kor,1,.2530331381103845,.3990285980443626
South Korea,kr,kor,2,.1949872924441657,.4378428718784473
South Korea,kr,kor,3,.1477284052131161,.4549585767349229
South Korea,kr,kor,4,.1196977613113935,.4543309571744129
South Korea,kr,kor,5,.1026894393037369,.4576590631382779
South Korea,kr,kor,6,.0862873685159735,.464943586799341
South Korea,kr,kor,7,.075667064535294,.4881075277086161
South Korea,kr,kor,8,.0669885699939719,.4963773786963582
South Korea,kr,kor,9,.0607399873989869,.4859599046777831
South Korea,kr,kor,10,.0609347211700436,.508419260816511
Japan,jp,jpn,1,.0304823184949785,.2069854421870614
Japan,jp,jpn,2,.0279971600777849,.1943967450659793
Japan,jp,jpn,3,.0200949754188682,.2082434968793132
Japan,jp,jpn,4,.0222983382800514,.210394719622613
Japan,jp,jpn,5,.0177873631244174,.2192251184060046
Japan,jp,jpn,6,.0148221501430785,.2109373432179918
Japan,jp,jpn,7,.0133741472516843,.2221371559086479
Japan,jp,jpn,8,.0122127190700864,.2283611665443044
Japan,jp,jpn,9,.0205095316823631,.2206227018516388
Japan,jp,jpn,10,.0154014179955197,.2299952488284181
United Kingdom,uk,gbr,1,.0461008476977037,.0802836613877103
United Kingdom,uk,gbr,2,.0383167048182934,.0896466271156947
United Kingdom,uk,gbr,3,.0301040622444459,.100173781796608
United Kingdom,uk,gbr,4,.0246394076142556,.1071795063399063
United Kingdom,uk,gbr,5,.021754793174891,.1106164775973968
United Kingdom,uk,gbr,6,.0214675959101443,.1125382255961957
United Kingdom,uk,gbr,7,.018805399873788,.1145512480512275
United Kingdom,uk,gbr,8,.0155510077032923,.1211293511519993
United Kingdom,uk,gbr,9,.0146768690914003,.1279029190726093
United Kingdom,uk,gbr,10,.0150838836167364,.1260380419008654
United States,us,usa,1,.0577109364673618,.1125501908335133
United States,us,usa,2,.0443786846313477,.125004298260024
United States,us,usa,3,.033217701121324,.1429815335390864
United States,us,usa,4,.0305213332182122,.1491884638247905
United States,us,usa,5,.0293503623680795,.1537179889600057
United States,us,usa,6,.0275138863132491,.1577605276258732
United States,us,usa,7,.0290752601532513,.1574254151012043
United States,us,usa,8,.0254727916450513,.1632958912929737
United States,us,usa,9,.0248888751164029,.1649397286803733
United States,us,usa,10,.0241070361620125,.1669781244514781
