cname; iso2; iso3; year; ehpublicq0; ehpublicq1; ehpublicq2; ehpublicq3; ehpublicq4; ehpublicq5;
Australia; au; aus; 1981; 18060885600.76776; 8010479298.660144; 5037073832.47425; 2255067381.329086; 1706370650.329563; 1051894437.974714;
Australia; au; aus; 1985; 29115805109.64484; 12059230524.95741; 9448060047.34424; 3714708215.501551; 2469172365.471462; 1424633956.370179;
Australia; au; aus; 1989; 32838097162.57805; 15905672438.07501; 9677210999.396294; 3907656542.794517; 2290700241.942723; 1056856940.369512;
Australia; au; aus; 1995; 55335323676.18446; 22261269400.57939; 18813099638.09614; 8028504239.517391; 4536154826.530688; 1696295571.460846;
Australia; au; aus; 2001; 75335052254.08949; 29739852470.50164; 26689470456.0954; 11963397283.50542; 5093121784.352175; 1849210259.634861;
Australia; au; aus; 2003; 78188043646.14801; 32060692961.24401; 27895455590.55317; 11164890323.40905; 5213775891.479027; 1853228879.462752;
Australia; au; aus; 2004; 88267569153.30927; 36648571733.13421; 31451015032.95342; 12847170790.98911; 5370502210.785981; 1950309385.44655;
Australia; au; aus; 2008; 108191311958.7921; 45638010475.2888; 37109853998.36144; 16252179151.11854; 6718921371.877093; 2472346962.146253;
Australia; au; aus; 2010; 128659770946.0018; 54190570112.31652; 43967591279.49879; 19104847831.90486; 7551619597.351161; 3845142124.930478;
Australia; au; aus; 2014; 167975076710.0649; 70376772270.84714; 53814927306.62085; 26773782127.30174; 10869550658.00476; 6140044347.290415;
Australia; au; aus; 2016; 175224061946.4533; 73256883210.81596; 55044111582.96514; 25575547006.90047; 12355096667.29734; 8992423478.474356;
Australia; au; aus; 2018; 175281363014.2727; 78738455097.97859; 53477928758.0036; 23814874171.66342; 12239310009.19605; 7010794977.431072;
Australia; au; aus; 2020; 186198483617.9053; 82755231970.94958; 60408892504.17351; 22828518782.20776; 12207676400.18902; 7998163960.385464;
Austria; at; aut; 1994; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 1995; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 1996; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 1997; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 1998; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 1999; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 2000; 0; 0; 0; 0; 0; 0;
Austria; at; aut; 2003; 58368297346.23553; 18327226639.1501; 16790140779.03305; 10391582832.66225; 7218210429.081257; 5641136666.308884;
Austria; at; aut; 2004; 65167316944.27367; 20455600935.83868; 20484642560.60023; 11610907184.34157; 7075272590.269268; 5540893673.223922;
Austria; at; aut; 2005; 64082118512.31432; 18607661864.22412; 20841347087.65445; 12333737175.05235; 7299225987.628461; 5000146397.754943;
Austria; at; aut; 2006; 67122126357.91753; 20499394587.31854; 22007735223.05163; 12342852266.86498; 7621922866.874419; 4632085638.724712;
Austria; at; aut; 2007; 64591856634.41744; 18382023960.26163; 21382718567.27943; 11987007736.72978; 7350616055.98764; 5489490314.158959;
Austria; at; aut; 2008; 69533183415.70151; 20262425813.63467; 22446105026.64164; 12633933458.66184; 8821781475.671947; 5368937641.091415;
