cname; iso2; iso3; year; edhiq0; edhiq1; edhiq2; edhiq3; edhiq4; edhiq5;
Australia; au; aus; 1981; 147452967321.0287; 8271368244.640936; 19697051423.43858; 30390406831.15535; 37440048915.63036; 51654091906.16348;
Australia; au; aus; 1985; 211900602812.0666; 12336500148.70181; 25636612406.65295; 44376660569.65495; 54506891711.70913; 75043937975.34773;
Australia; au; aus; 1989; 312816257105.4905; 17286305543.99048; 39095606518.60345; 61841937096.48019; 77627385392.72458; 116965022553.6918;
Australia; au; aus; 1995; 367303072115.3015; 20144961935.57611; 40365455327.51279; 67915874759.93905; 95964910174.40643; 142911869917.8671;
Australia; au; aus; 2001; 508488437047.3445; 28567547608.40956; 55015540326.78185; 96003354822.5484; 126761998535.0165; 202139995754.5883;
Australia; au; aus; 2003; 562613463156.1788; 30924192186.85291; 64154407422.63177; 105562898168.1466; 140262450258.7585; 221709515119.789;
Australia; au; aus; 2004; 642524792093.9812; 36495078192.18591; 73683209804.66187; 117562445659.9005; 157354935142.1307; 257429123295.1022;
Australia; au; aus; 2008; 968332176296.0626; 48962329425.84875; 115221119591.3186; 173695757504.4662; 226287774169.118; 404165195605.311;
Australia; au; aus; 2010; 1056615705328.349; 55948191598.14861; 117619123452.2431; 188284048136.3458; 254698551794.2088; 440065790347.403;
Australia; au; aus; 2014; 1313109165889.594; 73693869624.51054; 144321493632.4189; 228212836672.8871; 312336279586.3272; 554544686373.4503;
Australia; au; aus; 2016; 1374763012843.244; 76107362431.44917; 154006318023.4162; 240241966798.9272; 326694964085.3085; 577712401504.1428;
Australia; au; aus; 2018; 1488433639645.634; 83064755664.46799; 168100189339.7264; 258171047653.5088; 357392473998.6753; 621705172989.2555;
Australia; au; aus; 2020; 1622490360849.95; 86497491218.49339; 190809155956.6325; 280378013474.1154; 394878503335.8434; 669927196864.8651;
Austria; at; aut; 1994; 142141294691.9796; 7740934462.198793; 18835502888.95456; 27483182012.05528; 35448356684.25143; 52633318644.51955;
Austria; at; aut; 1995; 141819116027.4551; 8546776065.288134; 19194202577.08715; 27383712024.86843; 35606749371.47334; 51087675988.73808;
Austria; at; aut; 1996; 138428015876.4528; 8093814262.544585; 19035847116.70309; 26912449071.42451; 35939097917.31521; 48446807508.4654;
Austria; at; aut; 1997; 139954263639.6599; 8913529081.685503; 18379224148.42293; 27784517257.19007; 35073406985.07377; 49803586167.28768;
Austria; at; aut; 1998; 146455313904.1717; 8731534744.988909; 19817863215.84098; 27695350064.46978; 35565505264.07383; 54645060614.79823;
Austria; at; aut; 1999; 152305297231.2747; 9617225445.826298; 20796553064.23611; 28704920444.6458; 38205459604.10222; 54981138672.46429;
Austria; at; aut; 2000; 151010858460.511; 9846255329.395624; 20676157397.05136; 29298093716.67308; 38017992864.696; 53172359152.69492;
Austria; at; aut; 2003; 170090967897.3598; 15292010042.36258; 20453301602.73075; 32718331979.63416; 40185051596.32401; 61442272676.30832;
Austria; at; aut; 2004; 184232933245.372; 16744814946.98296; 23556805386.07051; 37127994046.1618; 42981191840.80959; 63822127025.34712;
Austria; at; aut; 2005; 181099557249.6367; 15679972545.60723; 22263836652.86561; 36672992250.08833; 42932178978.06048; 63550576823.01511;
Austria; at; aut; 2006; 187838939969.1415; 17038899213.30641; 22997174001.42074; 36488656600.55312; 44100379163.36546; 67213830990.49582;
Austria; at; aut; 2007; 202494939702.6594; 15683595492.27427; 23612550901.64605; 38313750526.1524; 48018986633.72109; 76866056148.86559;
Austria; at; aut; 2008; 212276627054.7839; 17063402247.03827; 24092076599.28453; 39704152488.14156; 52527980304.26684; 78889015416.05267;
Austria; at; aut; 2009; 221048138290.6587; 17446492076.2368; 24993660427.13198; 41861751935.13112; 52485953515.89905; 84260280336.2597;
Austria; at; aut; 2010; 224530108766.8363; 17904262003.39386; 26734858688.75974; 42581406195.04696; 53024672772.57221; 84284909107.06354;
Austria; at; aut; 2011; 229768603466.0052; 19118731563.58218; 26570898925.43254; 43916767539.62794; 54348546115.80344; 85813659321.55905;
Austria; at; aut; 2012; 228624880605.1396; 19598313755.50841; 27372119975.36454; 43195291042.21557; 55354618714.57809; 83104537117.47298;
Austria; at; aut; 2013; 243751494612.9122; 20826897387.32644; 29414615267.32261; 45722684894.28146; 58551005513.92223; 89236291550.05943;
Austria; at; aut; 2014; 245151157674.3026; 21126367259.2214; 30146592623.9631; 45993995532.06086; 59942074048.28917; 87942128210.7681;
Austria; at; aut; 2015; 249538389720.1467; 21613090861.61162; 30009665528.52131; 46345127218.31626; 61026587024.65404; 90543919087.04352;
Austria; at; aut; 2016; 265980356817.0982; 22880018899.47336; 30682685567.11508; 49597870205.02473; 62740784106.93961; 100078998038.5454;
Austria; at; aut; 2017; 268081358915.4786; 23298047296.43219; 31752700414.50352; 48423115051.69302; 63512289944.79807; 101095206208.0518;
Austria; at; aut; 2018; 277327155842.221; 25587760491.2778; 33231259067.60464; 53920420348.73873; 63721620334.16068; 100866095600.4391;
Austria; at; aut; 2019; 284780115401.6613; 25743527032.59122; 34731018279.16959; 55298626122.85666; 66674578151.14063; 102332365815.9032;
Austria; at; aut; 2020; 289048594579.99; 26077005021.56696; 35971151863.98827; 55679758936.61085; 66589958820.30833; 104730719937.5156;
Austria; at; aut; 2021; 300557427574.0586; 25888443464.68731; 37206840354.10656; 56426940270.60182; 71087180948.61345; 109948022536.0495;
Austria; at; aut; 2022; 342345132728.944; 26856977645.41365; 39928762863.48779; 64127416507.16055; 77916762620.57701; 133515213092.305;
Belgium; be; bel; 1985; 96319425432.0645; 13252929848.30978; 8156523025.957814; 18666302831.53319; 24009198014.11146; 32234471712.15225;
Belgium; be; bel; 1988; 105513808163.4384; 14200378638.81332; 8510876955.934444; 21140679545.98857; 26594943196.06511; 35066929826.63698;
Belgium; be; bel; 1992; 127393158994.3198; 17246818153.11532; 9992129386.431255; 25544669096.87688; 31886030134.74733; 42723512223.14904;
Belgium; be; bel; 1995; 138117052678.856; 14005820975.6094; 10139455119.13976; 26128066770.15125; 34955868695.52517; 52887841118.43047;
Belgium; be; bel; 1997; 163042820187.9409; 12074464834.70562; 18347854680.42043; 32542299343.00584; 41639473586.81731; 58438727742.99175;
