cname; iso2; iso3; year; ehipubsocq0; ehipubsocq1; ehipubsocq2; ehipubsocq3; ehipubsocq4; ehipubsocq5;
Australia; au; aus; 1981; 7167641397.191508; 2121908655.722247; 2214652044.928658; 1349987314.917583; 912081827.1922095; 569011554.4308102;
Australia; au; aus; 1985; 11330298550.84432; 3072654308.119334; 3757847340.654686; 2236275667.053675; 1469783110.068632; 793738124.9479891;
Australia; au; aus; 1989; 14949581106.69028; 5150734892.920394; 5043653487.439463; 2562045592.220174; 1555228976.395418; 637918157.714834;
Australia; au; aus; 1995; 29622378231.95417; 10460763524.21921; 9537032097.195036; 5336080928.176911; 3043238021.554469; 1245263660.808542;
Australia; au; aus; 2001; 40037216712.20146; 13304965145.00364; 14432876582.45598; 8021316058.60654; 3219917162.867138; 1058141763.268161;
Australia; au; aus; 2003; 41483458192.66672; 13965938677.59407; 15423255327.56792; 7819774974.439108; 3196863240.181884; 1077625972.883737;
Australia; au; aus; 2004; 46611049949.15772; 15515166396.44452; 17361639999.56237; 8809247764.502596; 3877124879.490575; 1047870909.157662;
Australia; au; aus; 2008; 57809292255.53745; 17061766347.15045; 22614922926.50114; 12122680447.64368; 4463646563.529399; 1546275970.712779;
Australia; au; aus; 2010; 65967733892.66383; 20370577289.61022; 24651115376.49294; 13539220417.4022; 4992974177.378638; 2413846631.77984;
Australia; au; aus; 2014; 88593783706.33643; 26556832886.13386; 31019978675.77784; 19290681701.17481; 7166505018.103274; 4559785425.146628;
Australia; au; aus; 2016; 87943758828.74364; 26821022390.31139; 29708303879.4502; 17235354898.58045; 7929489545.368055; 6249588115.033544;
Australia; au; aus; 2018; 90456531716.84877; 27397621657.55769; 32033975832.45905; 16775109175.21725; 8531980206.988077; 5717844844.626703;
Australia; au; aus; 2020; 92809842806.80548; 28621594091.43331; 33210029491.1745; 16392581364.24884; 9253819733.666279; 5331818126.282552;
Austria; at; aut; 1994; 13542582047.35482; 1560228227.38578; 2805506734.819196; 3158998128.900566; 2661159337.301808; 3356689618.947473;
Austria; at; aut; 1995; 13950912470.93174; 1890083212.202964; 3124848997.516651; 3214152563.163804; 3026399867.334934; 2695427830.713387;
Austria; at; aut; 1996; 12177323395.26722; 1786534392.167867; 2949544814.723611; 2852712551.733897; 2609540124.651777; 1978991511.990073;
Austria; at; aut; 1997; 11951681387.16178; 1885957469.157813; 2738096466.618088; 2705914152.202552; 2443462475.379268; 2178250823.804055;
Austria; at; aut; 1998; 11132507369.38075; 1543305652.627085; 2986408014.542792; 2708859174.342644; 2251241405.509874; 1642693122.358351;
Austria; at; aut; 1999; 11344433683.26624; 1682079779.040695; 3017874593.998483; 2802110992.072723; 2006682091.650874; 1835686226.503464;
Austria; at; aut; 2000; 12575080447.31662; 2009304004.08619; 2884589664.207759; 3434749318.206687; 2751144114.574206; 1495293346.241774;
Austria; at; aut; 2003; 16021221683.87326; 1194579874.759289; 3802474933.497871; 5154217654.126806; 3428488769.103964; 2441460452.385327;
Austria; at; aut; 2004; 16131864581.88967; 1264376157.447383; 3753862970.364444; 5765422602.8797; 3381996697.785459; 1966206153.412688;
Austria; at; aut; 2005; 17973474261.65828; 1634813884.803972; 3896943962.010235; 6203016386.582624; 3648577161.559194; 2590122866.702257;
Austria; at; aut; 2006; 17814066747.37807; 1865415349.596174; 4053480498.132076; 5798919402.657689; 3681453212.785781; 2396662509.123111;
Austria; at; aut; 2007; 17988501190.11739; 1737815557.509532; 4121452537.34546; 5806303279.973716; 3684811241.259218; 2638118574.029458;
Austria; at; aut; 2008; 19076652489.75005; 1671196590.680654; 3983423333.04501; 6003669359.576486; 4795423139.079958; 2622940067.367939;
Austria; at; aut; 2009; 20550348257.77915; 1962448092.944742; 4604184771.295416; 6508924041.446445; 4557444937.867717; 2917346414.224835;
Austria; at; aut; 2010; 22761989715.97831; 2134018139.551757; 5536386006.120797; 7291752945.51179; 4730715745.592293; 3069116879.201679;
Austria; at; aut; 2011; 21194121165.92424; 2101758463.723627; 5133149515.253052; 6623019304.512767; 4506245493.002868; 2829948389.431927;
Austria; at; aut; 2012; 21314056449.14377; 2701907992.789507; 4590643378.20077; 6836264443.304256; 4371502581.614815; 2648747581.734916;
Austria; at; aut; 2013; 22672297455.03379; 2424388512.5689; 5373069546.627165; 7454833103.865397; 4692984715.009028; 2676093608.302911;
Austria; at; aut; 2014; 23433971880.51641; 2506629642.084207; 5679176473.199273; 7624540090.925078; 5104544813.174373; 2506243583.606238;
Austria; at; aut; 2015; 24001394459.44754; 2960319862.108027; 5385697397.605793; 7612881739.708973; 5212150253.620586; 2830345206.404163;
Austria; at; aut; 2016; 24550893761.58855; 3301082140.824612; 5606949131.691422; 7248851123.803481; 5008351419.965661; 3335148232.494708;
Austria; at; aut; 2017; 25106798130.12994; 3525485705.944258; 6085326796.376052; 6959120059.513985; 5086561156.990976; 3417144678.530364;
Austria; at; aut; 2018; 25878671982.64245; 3900271465.688671; 6302634996.556853; 8215521882.498162; 4704833923.988059; 2751887726.524158;
Austria; at; aut; 2019; 26140099643.9446; 3180911788.627846; 7256195236.622613; 7926458299.826207; 4750471806.784645; 2905478947.083983;
Austria; at; aut; 2020; 30790561616.98616; 3347385772.454938; 7662882472.481977; 9816061038.807381; 5983542289.515596; 3803820379.419135;
Austria; at; aut; 2021; 28440278895.78071; 3295581655.758946; 7627610448.133735; 8169856381.616268; 5634357142.766548; 3534922275.6608;
Austria; at; aut; 2022; 28721647827.49911; 3396563791.193433; 7205760671.588483; 8686616303.31002; 5414291164.74599; 4001284647.074246;
Belgium; be; bel; 1985; 12528424042.10936; 3704284674.016308; 2340832983.213439; 3123017064.153273; 2120476742.064011; 1239812578.662331;
Belgium; be; bel; 1988; 14192134398.8134; 3956562875.956734; 2563811849.387601; 3601092867.531051; 2512840574.794037; 1557826231.143977;
Belgium; be; bel; 1992; 16676682320.26225; 4331811333.369144; 3305887104.630996; 4386766833.486572; 2886151674.888473; 1766065373.887067;
Belgium; be; bel; 1995; 18213094309.45538; 2951766961.207499; 2477418687.715854; 5418623949.3585; 3742822562.429414; 2359836972.762311;
Belgium; be; bel; 1997; 19210188821.71214; 4166543049.497483; 3599825205.968407; 5360188105.437046; 3669246137.855753; 2414386322.953453;
Belgium; be; bel; 2000; 14486761788.34201; 2973742422.563485; 1223385991.496901; 3871533100.120007; 3262560393.910196; 1898642622.610459;
