cname; iso2; iso3; year; ehitotalq0; ehitotalq1; ehitotalq2; ehitotalq3; ehitotalq4; ehitotalq5;
Australia; au; aus; 1981; 187944740095.8726; 8434407925.292436; 22090321018.14417; 37449637826.24287; 48039451803.10047; 71930921523.09264;
Australia; au; aus; 1985; 272645696154.2661; 12527048298.92968; 28113064784.15353; 54410613400.32178; 70114943682.18365; 107480025988.6775;
Australia; au; aus; 1989; 398700217646.2072; 17364427793.1114; 42984469175.35312; 75344554111.9705; 98937423456.9218; 164069343108.8504;
Australia; au; aus; 1995; 459409051476.5173; 20232537435.5066; 43005163850.43322; 80761900668.32129; 119818349340.8006; 195591100181.4556;
Australia; au; aus; 2001; 627116956241.6713; 28661447419.17297; 57914572467.00014; 112163752825.4376; 155757685915.8306; 272619497614.23;
Australia; au; aus; 2003; 703317929534.1223; 31276518903.58995; 68648638463.73786; 125309980134.8551; 174945857061.9381; 303136934970.0013;
Australia; au; aus; 2004; 788566344321.4771; 36835086921.5839; 78574452757.548; 137883233167.7884; 193802092625.6376; 341471478848.9192;
Australia; au; aus; 2008; 1168578894582.114; 48844498334.27567; 120875021480.0879; 197988496336.9493; 272115782718.3246; 528755095712.4769;
Australia; au; aus; 2010; 1249315202811.151; 55926355425.12096; 122483866881.0436; 212516106054.1783; 300846138659.005; 557542735791.803;
Australia; au; aus; 2014; 1609335619081.425; 73835050051.24837; 151389666373.3376; 261069354353.1803; 376179216657.9391; 746862331645.72;
Australia; au; aus; 2016; 1695291997138.396; 76586283297.85773; 163223455643.9574; 279086345105.336; 399287488737.9536; 777108424353.2917;
Australia; au; aus; 2018; 1852693230423.388; 83241260648.44383; 180088395855.4005; 301625370534.995; 438894926413.5392; 848843276971.0094;
Australia; au; aus; 2020; 2003343887392.101; 86897883920.26999; 203717985645.5745; 324528528379.4749; 481581590254.9487; 906617899191.8333;
Austria; at; aut; 1994; 182838180223.4618; 8448142022.636505; 21852927058.23266; 34030600807.41981; 45830706622.986; 72675803712.18678;
Austria; at; aut; 1995; 182984351700.1134; 9399791074.299099; 22315736573.70173; 34117239127.27351; 45956470847.4402; 71195114077.39888;
Austria; at; aut; 1996; 182277928588.9851; 8779488804.310041; 22124300506.35834; 33515480733.38013; 47308065521.58048; 70550593023.35609;
Austria; at; aut; 1997; 183641091713.7565; 9743985911.753918; 21434060709.78034; 34662234429.32887; 46060700007.20909; 71740110655.6843;
Austria; at; aut; 1998; 192348436942.6438; 9724430592.036011; 23146919831.54649; 34618493342.98099; 46875523111.94566; 77983070064.13463;
Austria; at; aut; 1999; 197937087773.029; 10429282563.34799; 24430825346.74354; 35740558099.93491; 49917412025.46507; 77419009737.53746;
Austria; at; aut; 2000; 200368251463.2597; 10720001805.6234; 24408296718.97327; 36938982554.01504; 50344655644.51352; 77956314740.13448;
Austria; at; aut; 2003; 230368851360.5665; 18328101346.26596; 24389277338.52152; 42005498223.43869; 54602076338.32932; 91043898114.011;
Austria; at; aut; 2004; 245522902752.4374; 20492224411.89942; 28664470715.4252; 47014604932.95602; 57448386117.47794; 91903216574.6788;
Austria; at; aut; 2005; 237101783684.901; 18610272692.87872; 26232498646.14186; 45204609845.44195; 56931253694.44885; 90123148805.98962;
Austria; at; aut; 2006; 248840886618.0322; 20519656019.43837; 27384699557.52462; 45222102700.86692; 58626532951.88377; 97087895388.3185;
Austria; at; aut; 2007; 271829867511.794; 18439010221.40057; 27968432328.5341; 47920810084.01162; 64122710817.36478; 113378904060.4829;
Austria; at; aut; 2008; 286072616614.9811; 20315027129.64484; 28713867749.76538; 49508873346.85699; 70335047059.1852; 117199801329.5288;
Austria; at; aut; 2009; 295431872760.1306; 20338842728.28887; 29394109816.64568; 51144108685.60002; 69278641806.05077; 125276169723.5453;
Austria; at; aut; 2010; 296921814145.7114; 20893255039.5987; 31350572406.50431; 52195655111.05114; 69606028757.85289; 122876302830.7044;
Austria; at; aut; 2011; 306017479348.2103; 22292805786.61649; 31152976789.79221; 53926375841.95792; 72242976150.59372; 126402344779.25;
Austria; at; aut; 2012; 306393511888.9711; 23049965165.54448; 32720368120.79622; 53479492812.31593; 73683967744.07234; 123459718046.2421;
Austria; at; aut; 2013; 326712601014.8873; 24704671133.20787; 35144669297.63408; 56612203138.98076; 79052118860.43225; 131198938584.6324;
Austria; at; aut; 2014; 328696669838.9715; 25148007837.43917; 36086962657.73972; 57133052803.0599; 80883643092.82204; 129445003447.9107;
Austria; at; aut; 2015; 339537525850.0991; 25800417157.80702; 36244931281.65794; 57885523107.52047; 82791653252.42082; 136815001050.6928;
Austria; at; aut; 2016; 354809948015.7415; 26600928187.17479; 36071979247.01579; 60833554084.7749; 82962164880.89368; 148341321615.8823;
Austria; at; aut; 2017; 356211225461.3609; 27110865492.0541; 37169548012.12258; 59977060307.49679; 84270136667.1337; 147683614982.5537;
Austria; at; aut; 2018; 368983901746.5205; 29925502098.76082; 38822382414.54345; 66737675328.1139; 85231257024.44002; 148267084880.6623;
Austria; at; aut; 2019; 384008770662.2364; 30570294322.68238; 41031299788.32641; 69251003270.66876; 89775549221.73332; 153380624058.8255;
Austria; at; aut; 2020; 382509206268.5793; 30624126791.8051; 42076448887.60762; 68167624619.84564; 88015628878.57423; 153625377090.7467;
Austria; at; aut; 2021; 395942288214.1448; 30323903989.53146; 43402474618.24322; 69160098743.21985; 93258145861.0735; 159797665002.0767;
Austria; at; aut; 2022; 448820897874.9287; 31255511200.26659; 46933611838.21152; 78363868789.83499; 102752386692.781; 189515519353.8346;
Belgium; be; bel; 1985; 96319425432.0645; 13252929848.30978; 8156523025.957814; 18666302831.53319; 24009198014.11146; 32234471712.15225;
Belgium; be; bel; 1988; 105513808163.4384; 14200378638.81332; 8510876955.934444; 21140679545.98857; 26594943196.06511; 35066929826.63698;
Belgium; be; bel; 1992; 173568641764.5433; 19115907728.65844; 11327071087.35255; 32611397530.39429; 44405685758.06988; 66108579660.06811;
Belgium; be; bel; 1995; 134859106236.994; 13829380210.5571; 10040672707.2746; 25346256786.13427; 33907940730.47198; 51734855802.55611;
Belgium; be; bel; 1997; 233800533043.0813; 13200826113.98738; 21365493314.31758; 42432646757.86598; 60337670330.5624; 96463896526.34796;
Belgium; be; bel; 2000; 141878310547.7071; 14716750229.62514; 8163596353.12939; 24047322781.06455; 33171773741.91753; 61778867441.97046;
Belgium; be; bel; 2003; 258473271673.5322; 16833594644.77383; 21860144830.83836; 47111134472.65333; 67497097240.67855; 105171300484.5882;
Belgium; be; bel; 2004; 277073882603.1906; 18321406930.2964; 23344802319.82516; 48355204841.56804; 70241115265.79674; 116811353245.7042;
Belgium; be; bel; 2005; 298855032977.0117; 18648963762.76968; 25098558546.04176; 53359095289.88026; 74578252554.56413; 127170162823.7558;
Belgium; be; bel; 2006; 302472172372.7592; 18718886884.9943; 27204696465.35576; 56036895803.63666; 75814767223.01501; 124696925995.7575;
Belgium; be; bel; 2007; 314455911814.8851; 19762539564.82632; 26037984472.90279; 58114381314.50594; 80385142180.40454; 130155864282.2456;
Belgium; be; bel; 2008; 327121168169.8348; 21346071494.2938; 27908335188.0616; 61405857883.52222; 83544315634.26045; 132916587969.6968;
Belgium; be; bel; 2009; 336439027512.0573; 23149908726.89703; 28325937710.71022; 61484722521.24973; 84247550122.57301; 139230908430.6273;
Belgium; be; bel; 2010; 341522277588.6546; 24096667640.40939; 26659395941.13805; 61020287082.3109; 87356660990.95096; 142389265933.8453;
Belgium; be; bel; 2011; 351776552631.9518; 24879454481.34737; 28026539685.84666; 62817125389.48788; 90826925137.92995; 145226507937.3399;
Belgium; be; bel; 2012; 375901598407.6516; 27325367785.32077; 30826670985.95342; 65045083759.73045; 97371558651.13148; 155332917225.5155;
Belgium; be; bel; 2013; 379488343780.8949; 31483413327.91473; 27068578867.92711; 63551556964.67164; 100093335685.3323; 157291458935.0491;
Belgium; be; bel; 2014; 385780025169.9173; 27624669403.56382; 34010873586.46673; 67242701592.24702; 99645534325.40196; 157256246262.2378;
Belgium; be; bel; 2015; 393024327635.1156; 30529375206.93576; 31149396217.58184; 67146367403.79035; 100894346752.5715; 163304842054.2361;
Belgium; be; bel; 2016; 405190013768.5242; 31900396720.84681; 32106515333.21965; 68027638052.98524; 101960031547.7088; 171195432113.7636;
Belgium; be; bel; 2017; 419741414106.6519; 30693734560.55471; 33930037145.4129; 71509024036.42944; 110249980312.5628; 173358638051.692;
Belgium; be; bel; 2018; 456704630989.6205; 31040079294.2338; 39525440054.88039; 76955223202.52126; 116114671402.4884; 193069217035.4966;
Belgium; be; bel; 2019; 471335537517.4722; 32234108648.97969; 38729233554.25367; 80745777112.05782; 122026018644.6385; 197600399557.5425;
Belgium; be; bel; 2020; 481191233349.157; 32974858997.73625; 41671745777.33078; 82327469866.71068; 125609525578.0328; 198607633129.3464;
Belgium; be; bel; 2021; 517675986958.6295; 34055673803.07048; 44821406770.54913; 86844810510.11967; 136825742465.3851; 215128353409.5052;
Brazil; br; bra; 1981; 10.93285888313174; .5364041339877874; .8361240043225955; 1.360928482292692; 2.280497846352596; 5.918904416176069;
Brazil; br; bra; 1982; 22.68549825957085; 1.139162770443657; 1.704751214206638; 2.770108576620309; 4.63694471045477; 12.43453098784548;
Brazil; br; bra; 1983; 47.7713158241076; 2.459510114494873; 3.50878701705166; 5.701648692182118; 9.727658808909268; 26.37371119146968;
Brazil; br; bra; 1984; 141.5758582064761; 7.641272720869019; 10.79063037222858; 17.01179203208122; 28.50809497828322; 77.62406810301411;
Brazil; br; bra; 1985; 552.2636550698537; 28.40643227922318; 40.71204320672587; 64.91673878089534; 110.4345139423488; 307.7939268606606;
Brazil; br; bra; 1986; 1572.660000123959; 74.57973070472015; 113.5269716215523; 190.9595311283019; 315.9189943935708; 877.6747722758137;
Brazil; br; bra; 1987; 4964.44070667963; 217.4350051667815; 351.3605486254492; 606.4589479189481; 1014.561310705454; 2774.624894262997;
Brazil; br; bra; 1988; 38340.44269792055; 1740.855629851877; 2578.525991404658; 4381.649821963474; 7489.361144512979; 22150.05011018756;
Brazil; br; bra; 1989; 613013.022384368; 27525.38908584095; 36104.11105603294; 64514.60331021831; 115753.0867502154; 369115.8321820605;
Brazil; br; bra; 1990; 16020394.27802959; 746797.4553802438; 1030270.057852255; 1795016.516122818; 3200423.829116434; 9247886.41955784;
Brazil; br; bra; 1992; 873067042.553775; 47607799.70287863; 64112436.71111745; 106425187.4471714; 176468985.3692875; 478452633.3233199;
Brazil; br; bra; 1993; 19114648134.82776; 1037208645.624665; 1363639643.396286; 2167309450.090351; 3583833521.072205; 10962656874.64426;
Brazil; br; bra; 1995; 749295150866.8624; 39449255481.72659; 47937887256.61749; 83608298198.19751; 146810738383.2734; 431488971547.0474;
Brazil; br; bra; 1996; 879162860682.4828; 44518497141.29174; 57364141159.69525; 99594354396.76978; 176045889504.2036; 501639978480.5225;
Brazil; br; bra; 1997; 926350929814.2079; 51041777019.42909; 61096203653.85345; 105019244132.6609; 178723949912.7317; 530469755095.5327;
Brazil; br; bra; 1998; 979093291090.4045; 59719704631.69791; 65109989737.69415; 110955565104.1121; 186024511809.543; 557283519807.3574;
Brazil; br; bra; 1999; 986363133649.6672; 64271760740.96339; 69246929906.34027; 112807893798.3696; 189450043148.9788; 550586506055.0151;
Brazil; br; bra; 2001; 1239444949558.876; 85535198948.53731; 92371767061.89606; 144017773598.0674; 233851590688.3015; 683668619262.0742;
Brazil; br; bra; 2002; 1380064208487.935; 99181196064.07426; 105119598790.6072; 161010443438.9985; 257672756369.1816; 757080213825.0732;
Brazil; br; bra; 2003; 1525403767159.809; 114730968313.1977; 122616037538.1521; 181422203951.8066; 287506118977.3667; 819128438379.2861;
Brazil; br; bra; 2004; 1680290964801.5; 126676640932.0669; 136326535138.0953; 207540791688.1814; 318476892574.6626; 891270104468.4941;
Brazil; br; bra; 2005; 1922126501106.402; 146954079953.999; 164837046154.369; 236305809662.7676; 366825568178.1509; 1007203997157.115;
Brazil; br; bra; 2006; 2184228239617.318; 167464977359.6806; 194572013885.5812; 264454521294.8926; 412790540635.4297; 1144946186441.734;
Brazil; br; bra; 2007; 2366408275131.003; 182167807972.2565; 214638183343.2041; 291293904076.3799; 452217318983.5801; 1226091060755.583;
Brazil; br; bra; 2008; 2664923760320.783; 202827906627.1151; 243697538757.8618; 337168041590.5869; 513815471532.7627; 1367414801812.456;
Brazil; br; bra; 2009; 2879548258534.183; 226080497457.4148; 263450482458.0674; 370235294463.9209; 561415259269.916; 1458366724884.863;
Brazil; br; bra; 2011; 3468701150650.231; 273031179973.0822; 323519720076.3848; 451830342929.8145; 673783103063.3623; 1746536804607.588;
Brazil; br; bra; 2012; 3953626173265.551; 311241129881.3442; 373906024056.4019; 517960367037.2642; 780156991912.8145; 1970361660377.727;
Brazil; br; bra; 2013; 4348732540908.541; 344077242989.95; 413055746055.97; 566648810916.0928; 864352580412.6377; 2160598160533.891;
Brazil; br; bra; 2014; 4787635297857.115; 392007832527.0605; 464530193660.7615; 620108118622.2158; 952576636670.1826; 2358412516376.895;
Brazil; br; bra; 2015; 4951796943201.766; 427601492631.3984; 478030096877.5295; 633200669731.168; 992771363141.373; 2420193320820.297;
Brazil; br; bra; 2016; 5140541529842.98; 394762223768.6782; 476174436872.5934; 672213796383.2123; 1017803429953.686; 2579587642864.811;
Brazil; br; bra; 2017; 5616684357215.359; 421963632559.8796; 486452960928.0583; 722242142139.7694; 1090202475744.063; 2895823145843.588;
Brazil; br; bra; 2018; 5815281852472.584; 435812615843.1959; 497104966420.7957; 766829050181.604; 1113106812357.783; 3002428407669.205;
Brazil; br; bra; 2019; 6165557767517.4; 472236102934.1829; 525235558156.9647; 803971506727.249; 1193241135911.701; 3170873463787.303;
