cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Australia; au; aus; 1981; 169883854370.8842; 423928609.6444356; 17053247179.15269; 35194570437.41668; 46333081141.72761; 70879027002.94278;
Australia; au; aus; 1985; 243529890973.4209; 467817777.7417618; 18665004723.01025; 50695905138.16063; 67645771416.69625; 106055391917.812;
Australia; au; aus; 1989; 365862120344.9114; 1458755317.581725; 33307258166.09924; 71436897595.40102; 96646723160.3884; 163012486105.441;
Australia; au; aus; 1995; 404073727764.0654; -2028731962.161585; 24192064259.58472; 72733396350.91336; 115282194537.9019; 193894804577.827;
Australia; au; aus; 2001; 551781904191.2499; -1078405039.863075; 31225102140.31497; 100200355471.645; 150664564215.941; 270770287403.2119;
Australia; au; aus; 2003; 625129886119.3224; -784174061.28414; 40753182848.69685; 114145089839.4811; 169732081295.2787; 301283706197.15;
Australia; au; aus; 2004; 700298775362.6495; 186515250.6583754; 47123437793.34798; 125036062516.8505; 188431590283.3607; 339521169518.432;
Australia; au; aus; 2008; 1060387584002.584; 3206487858.324775; 83765167536.78308; 181736317486.6087; 265396861758.7476; 526282749362.1203;
Australia; au; aus; 2010; 1120655431146.344; 1735785353.269449; 78516275463.23557; 193411258607.1569; 293294519025.5692; 553697592697.113;
Australia; au; aus; 2014; 1441360541901.364; 3458277502.920806; 97574739207.7623; 234295571817.7869; 365309665623.9332; 740722287748.9604;
Australia; au; aus; 2016; 1520067934332.764; 3329399856.872389; 108179343767.866; 253510798227.3216; 386932391766.7711; 768116000713.9331;
Australia; au; aus; 2018; 1677411867666.218; 4502805651.792989; 126610467306.2241; 277810496416.1534; 426655616399.7355; 841832481892.312;
Australia; au; aus; 2020; 1817145403148.835; 4142652082.892859; 143309093011.7526; 301700009723.3988; 469373913742.4993; 898619734588.2919;
Austria; at; aut; 1994; 182838180283.8879; 8448141996.392385; 21852927044.91802; 34030600798.69098; 45830706633.89723; 72675803809.98926;
Austria; at; aut; 1995; 182984351611.3788; 9399791074.994709; 22315736548.27914; 34117239120.21753; 45956470734.85028; 71195114133.03712;
Austria; at; aut; 1996; 182277928425.8754; 8779488825.338507; 22124300448.25347; 33515480642.24584; 47308065444.92077; 70550593065.11682;
Austria; at; aut; 1997; 183641091846.3766; 9743985865.436716; 21434060736.63133; 34662234494.78844; 46060700009.1841; 71740110740.33601;
Austria; at; aut; 1998; 192348437065.5948; 9724430626.47138; 23146919853.35889; 34618493319.10616; 46875523113.88532; 77983070152.77304;
Austria; at; aut; 1999; 197937087607.9274; 10429282574.02805; 24430825350.57108; 35740558122.68285; 49917411915.41672; 77419009645.22874;
Austria; at; aut; 2000; 200368251502.5672; 10720001883.85621; 24408296706.11527; 36938982555.99475; 50344655613.44534; 77956314743.15564;
Austria; at; aut; 2003; 172000554088.8065; 874716.0977117242; 7599136576.044744; 31613915480.98272; 47383865955.53347; 85402761360.14792;
Austria; at; aut; 2004; 180355585914.7422; 36623463.76691165; 8179828155.248224; 35403697863.52964; 50373113464.92834; 86362322967.26913;
Austria; at; aut; 2005; 173019665759.4497; 2610830.013216678; 5391151605.049221; 32870872802.01336; 49632027809.23379; 85123002713.14015;
Austria; at; aut; 2006; 181736896233.0752; 20261423.33089754; 5376964329.225971; 32879250464.11976; 51004610059.30447; 92455809957.09406;
Austria; at; aut; 2007; 207238010714.4098; 56986277.32091773; 6585713778.113757; 35933802357.92336; 56772094593.67381; 107889413707.3779;
Austria; at; aut; 2008; 216539433237.7999; 52601309.59736264; 6267762713.751445; 36874939959.84069; 61513265463.00484; 111830863791.6055;
Austria; at; aut; 2009; 221001273843.9087; 44155328.59362849; 5685734062.766432; 36499684023.77994; 60246391215.76302; 118525309213.0057;
Austria; at; aut; 2010; 218947755664.2387; 40888236.29554942; 5842712892.994707; 36746471152.97486; 60512358436.86617; 115805324945.1074;
Austria; at; aut; 2011; 228227529920.9141; 49139606.04756567; 6098612120.01585; 38773568478.18685; 63283574762.70992; 120022634953.9539;
Austria; at; aut; 2012; 227517806450.2666; 42403739.95244449; 5853459383.429032; 38657773072.57879; 64975982220.40949; 117988188033.8969;
Austria; at; aut; 2013; 241417761855.516; 33993861.12931081; 6278559431.703665; 40645619299.24646; 69110333254.19194; 125349256009.2446;
Austria; at; aut; 2014; 241788357238.9163; 25488817.44884561; 6481047419.8182; 41163151170.70515; 70262413499.14716; 123856256331.7969;
Austria; at; aut; 2015; 250941810474.8199; -34023417.03654956; 6165273489.997824; 42519911736.07399; 71927267113.28055; 130363381552.5042;
Austria; at; aut; 2016; 264152706536.4891; 11572155.38922232; 6509671539.946564; 43953015542.73296; 72567910949.73729; 141110536348.6831;
Austria; at; aut; 2017; 267678712360.432; 21482755.88481592; 8308010353.238174; 44128863008.23664; 74728358732.11111; 140491997510.9612;
Austria; at; aut; 2018; 275595922377.5877; 23748175.39242006; 8079030674.327538; 49556865166.87842; 76325981378.22153; 141610296982.7678;
Austria; at; aut; 2019; 287553400094.2371; 19271153.44490663; 9658605582.810467; 51534957880.6104; 79875254385.74034; 146465311091.631;
Austria; at; aut; 2020; 279511436500.9195; -151589.3765610087; 7482560655.178608; 48535622576.5349; 77449307341.40138; 146044097517.1812;
Austria; at; aut; 2021; 293912625418.7945; 5803445.785192884; 8680210250.633526; 50562234518.37602; 82639738461.02; 152024638742.9797;
Austria; at; aut; 2022; 342025202528.9805; 25919634.47083268; 10278748912.32422; 58603411112.7662; 92429760864.7334; 180687362004.6859;
Belgium; be; bel; 1985; 70583890256.41144; -133105224.0019236; 4181289753.926732; 14461694234.15047; 21373357045.58572; 30700654446.75045;
Belgium; be; bel; 1988; 76202582439.26216; 0; 3823531463.165738; 15937718532.50218; 23432216997.69769; 33009115445.89656;
Belgium; be; bel; 1992; 134582308939.5284; 0; 4265708946.137484; 26075342724.99715; 40412115605.79276; 63829141662.60103;
Belgium; be; bel; 1995; 96400003627.33401; 0; 1608449570.072225; 16832013681.54738; 29145604903.43782; 48813935472.2766;
Belgium; be; bel; 1997; 183151875675.1464; 82084528.99767576; 3075319276.3391; 32551005508.29553; 54541829339.04382; 92901637022.47031;
Belgium; be; bel; 2000; 107160300010.7399; 0; 1209389223.108296; 17045818107.01164; 29452457893.29118; 59452634787.32881;
Belgium; be; bel; 2003; 202638025366.8054; -188900173.5963945; 2576111900.959767; 36102808226.39933; 62568309070.18798; 101579696342.8548;
Belgium; be; bel; 2004; 217044285843.7038; -12594732.38314905; 2527812518.382141; 36582381247.02793; 64671959483.39063; 113274727327.2862;
Belgium; be; bel; 2005; 235280656164.6819; -250149923.8448606; 3802290910.776975; 40256496428.87574; 68495016168.63274; 122977002580.2414;
Belgium; be; bel; 2006; 235387488163.3484; 20437508.64860941; 3561086899.940837; 41925770998.134; 69573568842.28128; 120306623914.3437;
Belgium; be; bel; 2007; 248621358730.8179; 25157307.99855745; 4240006244.083172; 44262779865.60295; 73871424095.22011; 126221991217.9131;
Belgium; be; bel; 2008; 257161916836.0845; -92792404.78991753; 5084584144.693539; 47216910766.59003; 76355392141.43604; 128597822188.1548;
Belgium; be; bel; 2009; 262480329488.4724; 14448295.24811147; 4874810672.274561; 46374163249.93977; 77197829503.53667; 134019077767.4733;
Belgium; be; bel; 2010; 266971789251.3224; -6009410.722922106; 4349529218.196786; 45514705240.85394; 79548830302.48691; 137564733900.5077;
Belgium; be; bel; 2011; 272705512322.6663; -76280900.84090811; 3215739180.717023; 46250264436.06822; 82819169263.10411; 140496620343.6178;
Belgium; be; bel; 2012; 290718687123.6758; -12945532.85565505; 3462042849.968588; 47700695456.88309; 89135806245.83113; 150433088103.8487;
Belgium; be; bel; 2013; 294007163989.2091; 579497.896631427; 3054048689.326322; 46845007971.62501; 91354167254.54736; 152753360575.8138;
Belgium; be; bel; 2014; 295215736495.2227; 1548179.132186783; 3175580934.696312; 49090180797.37081; 91038265004.74748; 151910161579.2759;
Belgium; be; bel; 2015; 299761585124.6976; -17306107.02596982; 2110054292.240254; 47348819487.01009; 92549433303.54912; 157770584148.9241;
Belgium; be; bel; 2016; 311269389232.1829; -68783542.80525312; 2745820027.868656; 49377157464.80906; 93356382093.26247; 165858813189.048;
Belgium; be; bel; 2017; 324929043318.4897; -16394888.0317052; 3327839965.389838; 53682581950.21416; 101026120811.0457; 166908895479.8717;
Belgium; be; bel; 2018; 346304036416.8441; 1517759.20078569; 4491298893.931113; 54378676033.26807; 104649314608.8823; 182783229121.5618;
Belgium; be; bel; 2019; 358877354119.9897; 2553744.425156929; 5168653825.292847; 56021569112.87041; 109370347933.6705; 188314229503.7307;
