cname,iso2,iso3,group,grtype,aptjob,xptjob
France,fr,fra,1,1,.0115295029814655,.0239749019618253
France,fr,fra,2,1,.0074707951240592,.0159936305858079
France,fr,fra,3,1,.008305484240025,.0235605735542914
France,fr,fra,4,1,.0117910282759185,.0422864709315881
France,fr,fra,5,1,.0138201151220431,.0672142579481859
France,fr,fra,6,1,.0150528440022715,.0724362643341874
France,fr,fra,7,1,.0152303118896049,.0770152047329134
France,fr,fra,8,1,.0128429908230296,.0811847222518828
France,fr,fra,9,1,.0111709599002805,.0828541359352335
France,fr,fra,10,1,.0090328706550187,.080500125472081
France,fr,fra,1,2,.0100818491514335,.0203041538071339
France,fr,fra,2,2,.0120413095450062,.0258139259509987
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.0129998375059683,.0242355455991263
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.0055494203009984,.0294812067418356
France,fr,fra,10,2,.0097190224125012,.0166640311428554
France,fr,fra,11,2,.0095835822336241,.0184174548809495
France,fr,fra,12,2,.0078755241811787,.0154497428366883
France,fr,fra,13,2,.0103389548298574,.0203531396381681
France,fr,fra,14,2,.0073593993720544,.0180544856949198
France,fr,fra,15,2,.0070788807569275,.0130700640489042
France,fr,fra,16,2,.0065582272590224,.015810527026646
France,fr,fra,17,2,.0072728915591271,.0167831460469226
France,fr,fra,18,2,.0046876270137903,.0146488120056123
France,fr,fra,19,2,.0072012705875895,.0150590358304056
France,fr,fra,20,2,.0073848156457747,.0143478638093117
France,fr,fra,21,2,.0068588288403363,.0204949317068319
France,fr,fra,22,2,.007089307598129,.0168119635549171
France,fr,fra,23,2,.0090180189844975,.0209868754909176
France,fr,fra,24,2,.0085829568509027,.0202628215657906
France,fr,fra,25,2,.0085789851971066,.0243433453890788
France,fr,fra,26,2,.0068611461219657,.0224821871356302
France,fr,fra,27,2,.0076200909134329,.0248921533657749
France,fr,fra,28,2,.0088914373918417,.0275309887658748
France,fr,fra,29,2,.0088005360188132,.0275837934718907
France,fr,fra,30,2,.0106982126621701,.0301834836619826
France,fr,fra,31,2,.0096503933025588,.0310341573156775
France,fr,fra,32,2,.0110445440921483,.0320834539990071
France,fr,fra,33,2,.0094051455329485,.0342994826047001
France,fr,fra,34,2,.0097024053707458,.0417956605782856
France,fr,fra,35,2,.0129437568631334,.0434987385003513
France,fr,fra,36,2,.0123813758991422,.044368211300529
France,fr,fra,37,2,.0123917866788981,.0480166558393815
France,fr,fra,38,2,.0126545781405316,.0436864410993978
France,fr,fra,39,2,.0120324684269635,.0515893735735897
France,fr,fra,40,2,.0157094627600625,.052481673733196
France,fr,fra,41,2,.0143377876825107,.0596620265654836
France,fr,fra,42,2,.0110396016795652,.06430046843262
France,fr,fra,43,2,.015181038717943,.0623693901059529
France,fr,fra,44,2,.0139492457025984,.0635832905016914
France,fr,fra,45,2,.0151858565871834,.0672320755206905
France,fr,fra,46,2,.013766622526834,.0703794671419965
France,fr,fra,47,2,.0124585901873921,.071686698584632
France,fr,fra,48,2,.0165990837456497,.0702675005532894
France,fr,fra,49,2,.0133465283839316,.0704853539407269
France,fr,fra,50,2,.0123315770890823,.0721894768365046
France,fr,fra,51,2,.0148070713237913,.0711546445088584
