cname,iso2,iso3,group,grtype,rent
France,fr,fra,1,1,.1497465534515292
France,fr,fra,2,1,.1551681194866068
France,fr,fra,3,1,.155390807762065
France,fr,fra,4,1,.1520536986664766
France,fr,fra,5,1,.1512658270550022
France,fr,fra,6,1,.1489087832038612
France,fr,fra,7,1,.1470292877561257
France,fr,fra,8,1,.1479412201440186
France,fr,fra,9,1,.1474622670882099
France,fr,fra,10,1,.1479694288695692
France,fr,fra,1,2,.1485358437057761
France,fr,fra,2,2,.1479698247788874
France,fr,fra,3,2,.
France,fr,fra,4,2,.
France,fr,fra,5,2,.
France,fr,fra,6,2,.
France,fr,fra,7,2,.1502022143835777
France,fr,fra,8,2,.
France,fr,fra,9,2,.1698594927220635
France,fr,fra,10,2,.1498579265463106
France,fr,fra,11,2,.1529374795276125
France,fr,fra,12,2,.1531851265339601
France,fr,fra,13,2,.150960110467572
France,fr,fra,14,2,.159187398371598
France,fr,fra,15,2,.1534666049472586
France,fr,fra,16,2,.1553797115801343
France,fr,fra,17,2,.1560133059664474
France,fr,fra,18,2,.1586478798834623
France,fr,fra,19,2,.1559577948432178
France,fr,fra,20,2,.1565322200382788
France,fr,fra,21,2,.1569348392539537
France,fr,fra,22,2,.1553301319000295
France,fr,fra,23,2,.1538742301286467
France,fr,fra,24,2,.1559406553729462
France,fr,fra,25,2,.155092733224626
France,fr,fra,26,2,.1569806482901742
France,fr,fra,27,2,.1558901923346362
France,fr,fra,28,2,.154369673926574
France,fr,fra,29,2,.1545589934118765
France,fr,fra,30,2,.1550081672293649
France,fr,fra,31,2,.1545168912109504
France,fr,fra,32,2,.1528988132301722
France,fr,fra,33,2,.1535287955493952
France,fr,fra,34,2,.1534844766085323
France,fr,fra,35,2,.1519027118916533
France,fr,fra,36,2,.1513062210378565
France,fr,fra,37,2,.1508683387401736
France,fr,fra,38,2,.1510136061098559
France,fr,fra,39,2,.1512125493369524
France,fr,fra,40,2,.1498048461209306
France,fr,fra,41,2,.1513290666279589
France,fr,fra,42,2,.1529920215556684
France,fr,fra,43,2,.1516132692978172
France,fr,fra,44,2,.1490399102263997
France,fr,fra,45,2,.1504553642386595
France,fr,fra,46,2,.1510064094425294
France,fr,fra,47,2,.1513126830437261
France,fr,fra,48,2,.1504160555746847
France,fr,fra,49,2,.1521349927045919
France,fr,fra,50,2,.1523622820668984
France,fr,fra,51,2,.1503466214774129
France,fr,fra,52,2,.1517843666648185
France,fr,fra,53,2,.1498375406220848
France,fr,fra,54,2,.1500840421457554
France,fr,fra,55,2,.1483539739895131
France,fr,fra,56,2,.1489148362408063
France,fr,fra,57,2,.1504137005041869
France,fr,fra,58,2,.1487395801511109
France,fr,fra,59,2,.1452420226334274
France,fr,fra,60,2,.1453844937151979
France,fr,fra,61,2,.1468850117296713
France,fr,fra,62,2,.1490344397231062
France,fr,fra,63,2,.1489779464559242
France,fr,fra,64,2,.1466928794258943
France,fr,fra,65,2,.1453397263027442
France,fr,fra,66,2,.144143674643763
France,fr,fra,67,2,.1466068512591293
France,fr,fra,68,2,.1487713536776822
France,fr,fra,69,2,.1470263345206489
France,fr,fra,70,2,.1468194054143433
France,fr,fra,71,2,.1476583453156163
France,fr,fra,72,2,.1475843400563762
France,fr,fra,73,2,.1474221657639618
France,fr,fra,74,2,.1476873811696403
France,fr,fra,75,2,.148636653092531
France,fr,fra,76,2,.1508834258457396
France,fr,fra,77,2,.1502835655593519
France,fr,fra,78,2,.1447634157746902
France,fr,fra,79,2,.1467766185948556
France,fr,fra,80,2,.1477123801475155
France,fr,fra,81,2,.1459125535913545
France,fr,fra,82,2,.1466135870377107
France,fr,fra,83,2,.1484390273919919
France,fr,fra,84,2,.1473437593113232
France,fr,fra,85,2,.148761681582111
France,fr,fra,86,2,.1458864851417752
France,fr,fra,87,2,.147087002544388
France,fr,fra,88,2,.1485208247092357
France,fr,fra,89,2,.1478227373523358
France,fr,fra,90,2,.1482410010924616
France,fr,fra,91,2,.1477742878352248
France,fr,fra,92,2,.1481616064601941
France,fr,fra,93,2,.1464879170371958
France,fr,fra,94,2,.1488400978870308
France,fr,fra,95,2,.1471294607557417
France,fr,fra,96,2,.1463539846413664
France,fr,fra,97,2,.148352576588422
France,fr,fra,98,2,.1484193709300195
France,fr,fra,99,2,.1480086479705924
France,fr,fra,100,2,.1501664242351197
Sweden,se,swe,1,1,.1468472774768109
Sweden,se,swe,2,1,.138696299925885
Sweden,se,swe,3,1,.1167532016234673
Sweden,se,swe,4,1,.1245369582153825
Sweden,se,swe,5,1,.1349430780046812
Sweden,se,swe,6,1,.1294942958224029
Sweden,se,swe,7,1,.1230681945761133
Sweden,se,swe,8,1,.1146430294172613
Sweden,se,swe,9,1,.1052064263888772
Sweden,se,swe,10,1,.0981628154584324
Sweden,se,swe,1,2,.1406656421142659
Sweden,se,swe,2,2,.
Sweden,se,swe,3,2,.
Sweden,se,swe,4,2,.
Sweden,se,swe,5,2,.
Sweden,se,swe,6,2,.1368995709254531
Sweden,se,swe,7,2,.1392405092557191
Sweden,se,swe,8,2,.1537347669380828
Sweden,se,swe,9,2,.1685715368900176
Sweden,se,swe,10,2,.1641972318104507
Sweden,se,swe,11,2,.1491996225087785
Sweden,se,swe,12,2,.1399561944917032
Sweden,se,swe,13,2,.1413636986182533
Sweden,se,swe,14,2,.1407576478478165
Sweden,se,swe,15,2,.1443923663706228
Sweden,se,swe,16,2,.1392265979646004
Sweden,se,swe,17,2,.144147768942062
Sweden,se,swe,18,2,.1371128086803696
Sweden,se,swe,19,2,.1183988522628908
Sweden,se,swe,20,2,.132663214487953
Sweden,se,swe,21,2,.1240822970331947
Sweden,se,swe,22,2,.1201096081427747
Sweden,se,swe,23,2,.1165694651296301
Sweden,se,swe,24,2,.1140910292081823
Sweden,se,swe,25,2,.1207076110558081
Sweden,se,swe,26,2,.1138950792475409
Sweden,se,swe,27,2,.1073444286357703
Sweden,se,swe,28,2,.1143846439475384
Sweden,se,swe,29,2,.1144578760905226
Sweden,se,swe,30,2,.1220081031289674
Sweden,se,swe,31,2,.121301282753095
Sweden,se,swe,32,2,.126292406013794
Sweden,se,swe,33,2,.1200245618734659
Sweden,se,swe,34,2,.1276678376278536
Sweden,se,swe,35,2,.1226483793722911
Sweden,se,swe,36,2,.1147287524002078
Sweden,se,swe,37,2,.1159542221813354
Sweden,se,swe,38,2,.126629164568841
Sweden,se,swe,39,2,.1223962285685106
Sweden,se,swe,40,2,.1474749883590687
Sweden,se,swe,41,2,.1386092578298602
Sweden,se,swe,42,2,.1424573228098729
Sweden,se,swe,43,2,.1316352149395459
Sweden,se,swe,44,2,.112153551611692
Sweden,se,swe,45,2,.1498631518269777
Sweden,se,swe,46,2,.1227560462211659
Sweden,se,swe,47,2,.1462896938116851
Sweden,se,swe,48,2,.1410701190637571
Sweden,se,swe,49,2,.1333068318494919
Sweden,se,swe,50,2,.130907665187377
Sweden,se,swe,51,2,.1359119480012127
Sweden,se,swe,52,2,.1296573230525499
Sweden,se,swe,53,2,.1364729869851738
Sweden,se,swe,54,2,.1344434462044568
Sweden,se,swe,55,2,.1300303522192555
