cname,iso2,rname,year,t1,t2,t3,t4,t5,t6,t7,t8,t9
France,fr,pv5,2010,.8806357051008236,.840162433761248,.3759357877379817,.225637222321944,.2829793977655782,.4913974630954736,.1303085587761334,.1567537342008506,.4578809406222695
France,fr,pv6,2010,.8995659862470093,.8616936113265075,.4040159167600468,.2506581639005995,.3186887056741458,.5529920144793139,.1764358760507525,.1960359718080567,.5373513657257911
France,fr,rent,2010,0,0,.0070006276590966,.0013832357407255,0,.0003327048236755,0,0,.0015879648976181
France,fr,care,2010,1,1,0,0,.1478773430725741,.1638099068947411,.1908421579914852,.0487186546148943,.3388633604608357
France,fr,pv5,2011,.876199680856691,.8344065595404169,.3735010140529185,.2273900794048462,.2870817177388819,.4698175570102982,.1384076680372062,.1592421619313584,.4899333917314097
France,fr,pv6,2011,.8958443356052472,.8613681895804924,.3966751684319609,.2522774677339698,.3157399061349162,.5258872516393764,.1832832653355898,.1980733425052189,.5500290474417683
France,fr,rent,2011,.0002164547956907,0,.0064751462396946,.0009170742688491,0,.0010048625187823,0,0,.0013052410807422
France,fr,care,2011,1,1,0,0,.1516109104574048,.1601807684277643,.1906550665921931,.0486201202431372,.3647871916987928
France,fr,pv5,2012,.8818059151437617,.8330038821982383,.3793696907820474,.2226057276090112,.287405929223695,.4827312966132662,.1423555471127005,.1655785827713379,.4438153224662632
France,fr,pv6,2012,.8994604356075375,.8584154783173239,.4029191884674195,.2434995233841076,.3142680226574318,.5406398990774095,.1881306358691333,.213094610533122,.4929066397898395
France,fr,rent,2012,.0001064068978811,0,.0050000036816162,.0005875832004125,.0002002606748416,0,.0000954844873901,0,.0025554709646038
France,fr,care,2012,1,1,0,0,.1533626425653568,.1545322205340729,.1914644937957818,.0418428695611945,.3519652449234674
France,fr,pv5,2013,.8854315825553244,.8410434882229675,.3579762062347648,.2061128664823442,.2881699917367795,.4631890551192703,.1430863695170526,.1469376913729684,.4475811855047641
France,fr,pv6,2013,.9036648487399138,.8628403614227134,.3845684358475299,.2295505139998767,.3165087741147895,.5189724966841294,.1880039430253288,.1836876418714307,.531989413017625
France,fr,rent,2013,.0001295657310962,0,.000435862909918,0,0,0,0,0,0
France,fr,care,2013,1,1,.6547773510753412,.6520707362654585,.7272791074168061,.8222260199663634,.800834606474106,.7212571831008208,.8243682193572891
France,fr,pv5,2014,.8904850963997883,.841925576295518,.3606125260800283,.2035557850451432,.2975790721067972,.4742695650599064,.1317904442327339,.1687968486777614,.4750056579331818
France,fr,pv6,2014,.9098411430764177,.864062864091198,.3851372550608373,.227433761314487,.3263271597927401,.534224339376334,.1718851720752939,.2056629554282928,.5606274106159427
France,fr,rent,2014,.0002029932217858,0,.0014649710534863,.0001915818761398,0,0,0,0,.0022449610522175
France,fr,care,2014,1,1,.6566642677207565,.6518831413617902,.7286003215970086,.8230671517872856,.8046507368613387,.7212891674079901,.8407631143154828
France,fr,pv5,2015,.8726995885759422,.8594855368156424,.3619209896568127,.2023891956328186,.2961043825885745,.451145030036939,.1391172505883532,.1649776066075734,.4746550831215571
France,fr,pv6,2015,.8905999701304455,.8826418291495775,.3910157929352241,.2271755099755265,.3280288068793378,.4986759577152936,.1746928719886592,.2084195597704396,.5408205454077396
France,fr,rent,2015,.0001044467530078,0,.0013101053428332,.0001030246228741,0,0,0,0,0
France,fr,care,2015,1,1,.654730381878138,.6569280902952004,.7298995212087692,.8240292588630675,.8017812698536225,.7268004213255731,.8359351839779985
France,fr,pv5,2016,.8762731883186778,.8446690529079712,.3671567698638277,.1930180204695555,.2877006222994666,.468179172802197,.1446660294316393,.1637546270364587,.4149530039078081
France,fr,pv6,2016,.8963685449981229,.8679351688740556,.3963770355415127,.2173656988432177,.323283239348594,.5241366234682583,.182113519179793,.2086931266929691,.4722224278065124
France,fr,rent,2016,.0001469244777146,0,.0009991878037877,.0001205514339195,0,0,0,0,.0033209291579158
France,fr,care,2016,1,1,.6547024419842961,.652271807135241,.72235822536782,.8292338783226212,.8041138591428618,.7432556301907015,.8693538371269875
France,fr,pv5,2017,.879050218801453,.8463856472657223,.3648352206805086,.1848004607286587,.2862303266365038,.466027518447054,.1443671179685472,.1583806474225976,.4592751024248572
France,fr,pv6,2017,.8959713440276779,.8688453780679797,.3975348629379129,.2117529884653227,.3228492403429464,.5137376613846123,.1772392513095954,.2051429614095443,.4861468634656754
France,fr,rent,2017,0,.0001420995020091,.0012460543513541,0,.0001099459268558,0,0,0,.0016505348340099
France,fr,care,2017,1,1,.6641283343949735,.6384971697937225,.7279935722062938,.8168529593792101,.7944816637400628,.7345685039084814,.8460182855865049
France,fr,pv5,2018,.8931678190766007,.8670933896223794,.3635893874567065,.1824900638827929,.2778763744603428,.4502502509382399,.1437711135609383,.1525753117424699,.470497678847809
France,fr,pv6,2018,.9115286070934411,.8876649127541143,.3906726996695682,.2068263497735467,.3082008512596822,.4989695262899352,.1808359127097869,.1896031844184251,.5704430313706479
France,fr,rent,2018,.743354163432093,.9074401821966845,.5874862514008107,.7057877721604677,.8202743022233694,.7750898040352413,.8399858243110204,.8567885714040093,.7803985440574526
France,fr,care,2018,1,1,.6592922978791115,.649351448410014,.7350423536369219,.8133993364439059,.8016414842861734,.7172520468887791,.8528829139901426
France,fr,pv5,2019,.8898641049130253,.861290125934177,.3557011526918266,.1770373861309197,.2816982294218552,.4362516641321607,.1426857738190291,.1371734998017025,.5238703078909094
France,fr,pv6,2019,.9070704819731936,.8844518277716805,.3816485503404047,.2003239468046442,.3099967502313765,.4896020307663598,.1808888138840698,.1803670766347946,.6029551513243839
France,fr,rent,2019,.7574939896669373,.9108604538774359,.5716671266150838,.6821517233069371,.81784191637112,.777279886019464,.8372044411405125,.8431479210094801,.768655335952645
France,fr,care,2019,1,1,.6671532647401208,.6499167200652628,.7371442539586074,.8261667763397594,.7978295250571776,.7094478451913209,.8427086052607365
Japan,jp,pv5,2010,.4156803138087954,.0707576012174696,.1627472895665311,.0907338043593339,.0883776999252693,.3743773539370482,.0834716928555809,.1134154594826808,.0976800335113117
Japan,jp,pv6,2010,.4756892454195853,.1934413491370491,.2607510100479156,.1307325615597291,.1279016888554308,.4406613115845056,.1329568001799793,.1723874115153323,.1762110415285732
Japan,jp,rent,2010,.0792755086607346,.1210921423223537,.0885791039360099,.1129632078624853,.1294474543528826,.2511004053501216,.1581346064973122,.146306724024967,.0820299551547228
Japan,jp,care,2010,1,1,0,0,.2398012690240352,.109085454043676,.1381571939606336,.1704535048078268,.3599078311876789
Japan,jp,pv5,2011,.4112040784856781,.1288789851256044,.2196356639960489,.0886598420539449,.0955446353479307,.2874107521299438,.0561983277449927,.1647157630680008,.1495666387300406
Japan,jp,pv6,2011,.4857480021841512,.1925330108864959,.3232734096419155,.1522242492659531,.1427179455225542,.3113659631557117,.125435234018467,.1932467017150717,.2248213418397497
Japan,jp,rent,2011,.1380327516101931,.0778077907713259,.1498933538886875,.1519610767712791,.1667777239631427,.3764556691113922,.1918049712097543,.2082282479176178,.1652327200733842
Japan,jp,care,2011,1,1,0,0,.2476433935030606,.1073133416188553,.1532577950332432,.1556581426811104,.3538047495578039
Japan,jp,pv5,2012,.3804463305986285,.1714423611175674,.2007588179102971,.0687243597938512,.1062297484963947,.4398652130594593,.0674380592390072,.1105095267860496,.1070263299093821
Japan,jp,pv6,2012,.485116742932141,.2437142507162953,.2870336231709034,.0925836268695257,.1582663361162222,.4398652130594593,.1637230974442425,.1578999889230951,.1426695921531573
Japan,jp,rent,2012,.1860522501721056,.110333123177193,.1368453707912376,.1444834324282515,.1476771519956819,.3129925698816784,.1469675599917351,.1448500598728361,.1697054206981643
Japan,jp,care,2012,1,1,0,0,.250847822748798,.0594448943031531,.1482907664643228,.155234271215531,.3549955908408964
Japan,jp,pv5,2013,.33194766034204,.0902989837998384,.1971121843391371,.0684579715379765,.1128467570704713,.2241087391897271,.0462578231757474,.0974954273675314,.0643873410900043
Japan,jp,pv6,2013,.4091158253001212,.1638259021520144,.2634532655986827,.0986652443343572,.1530296380312432,.2772832044486502,.1102308668434286,.1338695850737046,.1216381015442458
Japan,jp,rent,2013,.111991847939921,.0838503979203917,.1173741843912025,.0976961762883824,.1153661446189331,.2975053180100066,.1424932760361286,.1032859208905039,.1641407647947541
Japan,jp,care,2013,1,1,0,0,.2690283986591434,.0535308563199368,.1363767517319879,.1518486484908606,.366429222791495
Japan,jp,pv5,2014,.3247961132592196,.0964119336620851,.1359170701246201,.0922235580096294,.0835226757823835,.3414559464974743,.0481322318402992,.0716389437388056,.0872919155158984
Japan,jp,pv6,2014,.4145595065539653,.1720801444931075,.2103594611881154,.1124138758226787,.1280331215571037,.3612301895675239,.0960383628997214,.1236882157271735,.1140914538176662
Japan,jp,rent,2014,.1275906023097068,.1184621434726658,.1236819407596191,.1141109650831277,.1264712195402241,.1294722083092055,.1363816207975525,.1176382814374266,.1238208440389556
Japan,jp,care,2014,1,1,0,0,.2786772426733367,.0519434517876822,.1410743958803716,.1447793301253416,.3782229243527983
Japan,jp,pv5,2015,.3891751867199759,.1220727738636987,.1320422501197609,.1167883831838639,.1160256419075346,.2331174696117246,.0566168795625033,.0945759758755272,.0806148997797901
Japan,jp,pv6,2015,.4616988522712367,.243334412132409,.2139969109826342,.1591504577469414,.1479789627020721,.3382228620945256,.1058966597709371,.1402927408829752,.1335820105617733
Japan,jp,rent,2015,.1122727583809582,.0824838772040638,.0958799963444432,.0776199121239182,.1171752153240104,.0514353464104327,.1199116878558786,.1128807936185785,.135331161856431
Japan,jp,care,2015,1,1,0,0,.280207601422177,.0738106601863868,.142229521539985,.1353820417217665,.3622621547737149
Japan,jp,pv5,2016,.3540651802586433,.0983935337828457,.1486809274895177,.0637899751019665,.1091145074273012,.3451978738298289,.0493137754174102,.0762717373483043,.2087210997889855
Japan,jp,pv6,2016,.3948783631648898,.1913853985387201,.206016517319175,.0937933299996656,.1578184967750589,.3875881744866301,.0926224910332927,.0966262492464525,.240966607683856
Japan,jp,rent,2016,.1684621401459417,.1555859463212289,.0889368526996065,.0833660136578379,.0951343101869836,.264108666408095,.109827989594569,.1146303904397965,.1641190679832087
Japan,jp,care,2016,1,1,.0034600457946882,.0284293152658397,.2963553838689818,.1295601845592594,.1343314732354629,.1560564058835158,.3945257206094837
Japan,jp,pv5,2017,.3178320920129237,.1365849606270633,.153454657371931,.0604246740473334,.0979951849307361,.3340535345094182,.0462781708281573,.0672437410280307,.2683698708275617
Japan,jp,pv6,2017,.4377777932266714,.2944285663958023,.190133134830289,.0869641911899909,.1320809362192715,.3518254506436957,.1003764917271181,.0812900921006101,.3004474223949158
Japan,jp,rent,2017,.1582872413139157,.1537767859307896,.1195667944111143,.0846221804690359,.1220847502122904,.118985482273551,.1150924574700543,.0987693540033607,.1139648486842636
Japan,jp,care,2017,1,1,.0194423681939107,.0079980272435296,.2961882448479922,.1040365204606374,.1294051240597044,.1608459551525632,.3724363994497387
Japan,jp,pv5,2018,.3467335620294527,.1157925260947325,.1580227194032711,.0555046257168338,.1000385950562772,.2222054289033787,.058256479543539,.1068140665363991,.0728928727441717
Japan,jp,pv6,2018,.3953812705735788,.2013027384264385,.1962128914854274,.0794397494963757,.1521457528359058,.3116807053021874,.0854090261521878,.1359115139057775,.1330080235236327
Japan,jp,rent,2018,.2282710498828777,.1532994849070052,.1665788268047839,.1110061301533351,.1932876324793746,.2268069108972652,.1705848850723908,.2219555624409865,.1683007971746577
Japan,jp,care,2018,1,1,.0252066374607332,.0146668228718973,.2769251190497601,.0420206698139692,.152754092141502,.1447564688314884,.3719400920003694
Japan,jp,pv5,2019,.2854945226860157,.1217089438959863,.1229470269844332,.0525254449456676,.1081167682819618,.1268989759670764,.0440850540737348,.1048859721760042,.0859443518322844
Japan,jp,pv6,2019,.3856299847102148,.2063937238058144,.1628905447835988,.0644018941432079,.1621867745820529,.2634875357082575,.0787559986874009,.1232631672753547,.0956901374307321
