cname,iso2,name,group,grcat,value
France,fr,pv5,1,1,.6003644275069147
France,fr,pv6,1,1,.6282212773070415
France,fr,care,1,1,.6446482297944465
France,fr,rent,1,1,.1568468685024932
France,fr,abhlth,1,1,.0740638372567344
France,fr,xbhlth,1,1,.1998511691279555
France,fr,anoemp,1,1,.6609896201424302
France,fr,xnoemp,1,1,.8240728651435613
France,fr,aptjob,1,1,.009939053684654
France,fr,xptjob,1,1,.0333525446324997
France,fr,aisolt,1,1,.0644373062264528
France,fr,xisolt,1,1,.1399950250727104
France,fr,aunemp,1,1,.0140233239463784
France,fr,xunemp,1,1,.0452717574993565
France,fr,pv5,2,1,.6382749439897962
France,fr,pv6,2,1,.6649171505813344
France,fr,care,2,1,.6582312208828347
France,fr,rent,2,1,.1612693657099347
France,fr,abhlth,2,1,.0704528991615942
France,fr,xbhlth,2,1,.227936019895871
France,fr,anoemp,2,1,.7167056173634259
France,fr,xnoemp,2,1,.875292618116973
France,fr,aptjob,2,1,.0066965457633372
France,fr,xptjob,2,1,.0284883492482161
France,fr,aisolt,2,1,.0491900062626836
France,fr,xisolt,2,1,.1509193406621654
France,fr,aunemp,2,1,.0093139424429048
France,fr,xunemp,2,1,.0378798784014602
France,fr,pv5,3,1,.4552355880062228
France,fr,pv6,3,1,.4869752753665486
France,fr,care,3,1,.6074837775867256
France,fr,rent,3,1,.1590967620189833
France,fr,abhlth,3,1,.0425545366878526
France,fr,xbhlth,3,1,.1805219592247898
France,fr,anoemp,3,1,.4655330994946067
France,fr,xnoemp,3,1,.7653430266153739
France,fr,aptjob,3,1,.0084274018760349
France,fr,xptjob,3,1,.0569741491478235
France,fr,aisolt,3,1,.0480211947295844
France,fr,xisolt,3,1,.1535029930415447
France,fr,aunemp,3,1,.0132994733869698
France,fr,xunemp,3,1,.0838095490698472
France,fr,pv5,4,1,.2952479031276867
France,fr,pv6,4,1,.3316063925050973
France,fr,care,4,1,.5773202977896207
France,fr,rent,4,1,.1590130100483474
France,fr,abhlth,4,1,.0201832531649548
France,fr,xbhlth,4,1,.1341562638722695
France,fr,anoemp,4,1,.2292428238912302
France,fr,xnoemp,4,1,.660023853493874
France,fr,aptjob,4,1,.0087943219405938
France,fr,xptjob,4,1,.0848594941337521
France,fr,aisolt,4,1,.0461383455505191
France,fr,xisolt,4,1,.1553009168584975
France,fr,aunemp,4,1,.0144116241702047
France,fr,xunemp,4,1,.1303829544856342
France,fr,pv5,5,1,.2627756447541336
France,fr,pv6,5,1,.2995974693990526
France,fr,care,5,1,.5655936378365134
France,fr,rent,5,1,.1582141036346724
France,fr,abhlth,5,1,.0154690618653447
France,fr,xbhlth,5,1,.1251701720899986
France,fr,anoemp,5,1,.1688075166807361
France,fr,xnoemp,5,1,.6203733630366762
France,fr,aptjob,5,1,.0084366832048777
France,fr,xptjob,5,1,.0870443894020744
France,fr,aisolt,5,1,.0517773643647495
France,fr,xisolt,5,1,.1539202245664337
France,fr,aunemp,5,1,.0152738889720758
France,fr,xunemp,5,1,.1380010906219927
France,fr,pv5,6,1,.2379424742118784
France,fr,pv6,6,1,.2743020193726921
France,fr,care,6,1,.5569014879072349
