cname,iso2,var,ci,gini
France,,emin,.5278664548514634,.5278664548514634
France,,ebnf,-.3956212442667081,.6097018804173638
France,,etax,.4745774389385495,.6022971317787642
France,,esct,.5259112636577427,.5508234594672825
France,,ebdn,.4924741528489349,.5497264556221813
France,,ebfn,-3.229430311181305,3.751270343863058
France,,ebf0,-.559619446573186,.705253336581911
Sweden,,emin,.4497500002443046,.4497500002443046
Sweden,,ebnf,-.3235177781428736,.5419121749101204
Sweden,,etax,.410671030638184,.476836230026292
Sweden,,esct,.3672605763234021,.4144874126541842
Sweden,,ebdn,.4023993098540665,.4402709001139832
Sweden,,ebfn,3.779184519512397,-4.206491853759975
Sweden,,ebf0,-.5938879402889857,.7136576412842657
South Korea,,emin,.4052894508570245,.4052894508570245
South Korea,,ebnf,-.2703215958156436,.5662338147656035
South Korea,,etax,.6581362006443598,.7373841083934857
South Korea,,esct,.3777405787765091,.4640619334103037
South Korea,,ebdn,.5165603794338904,.5764198342552909
South Korea,,ebfn,2.352700749582705,-2.929269431303189
South Korea,,ebf0,-.5419804228036704,.8019346378751406
Japan,,emin,.4158030795424722,.4158030795424723
Japan,,ebnf,-.4593822642335322,.7377160325660308
Japan,,etax,.6569100042125638,.7268662180199342
Japan,,esct,.3330629275635638,.4552252256522794
Japan,,ebdn,.4713451877957715,.5572001817189873
Japan,,ebfn,2.239874353444045,-2.869457506215808
Japan,,ebf0,-.6588342707812042,.8139338216484032
United Kingdom,,emin,.467782670002814,.467782670002814
United Kingdom,,ebnf,-.4464433029015882,.6293653725473651
United Kingdom,,etax,.6072398891026604,.6569759069327383
United Kingdom,,esct,.5228477858041488,.6157057017237386
United Kingdom,,ebdn,.5845356545250904,.6252699139505166
United Kingdom,,ebfn,9.602092932615852,-10.96196538395004
United Kingdom,,ebf0,-.5863510509675917,.7137175428930427
United States,,emin,.5316195093229138,.5316195093229138
United States,,ebnf,-.26523043986353,.5642678418800958
United States,,etax,.6898968690460074,.7164435929536319
United States,,esct,.4709538910365121,.502451788342459
United States,,ebdn,.6289915298864649,.6443908507933448
United States,,ebfn,3.97645297802537,-4.578152329501544
United States,,ebf0,-.5358692505839628,.740253907038315
