cname,year,currency,varname,N,mean,sd,min,max
France,2010,978,dhi,54639,35653.36572782434,31372.39299164424,-264500,2033320
France,2010,978,min,54639,30388.92272480188,44883.35618902069,-258104.40625,2756082.75
France,2010,978,hitotal,54639,43612.19584527023,44031.28611831734,-258104.4099121094,2978872.837890625
France,2010,978,hpublic,54639,12971.81591903219,15055.20356354969,0,740360
France,2010,978,tax,54639,5853.571075605337,11642.43602030558,-9290,945030
France,2010,978,hxitax,54639,4815.600029283113,11212.64661048182,-9640,940870
France,2010,978,hxptax,54639,518.985523161112,488.0267512666118,0,6800
France,2010,978,hxotax,54639,518.985523161112,488.0267512666118,0,6800
France,2010,978,hxscont,54639,3143.230088162781,4321.782543056939,0,123518.32421875
France,2010,978,hxvcont,54639,0,0,0,0
France,2010,978,hipension,54639,10060.05033035012,15594.3748129097,0,740360
France,2010,978,hi31,54639,61.53498416881715,575.5442084285017,0,14810
France,2010,978,hi32,54639,0,0,0,0
France,2010,978,hipubsoc,54639,2911.765588682077,5220.503944347952,0,109930
France,2010,978,dhi,54639,35653.36572782434,31372.39299164424,-264500,2033320
France,2010,978,pwgt,54639,1127.123574735994,998.2312662896651,71,22550
France,2010,978,nhhmem1864,54638,1.360573227424137,1.033078001575266,0,8
France,2010,978,nhhmem,54639,2.279672029136697,1.286762790118253,1,12
France,2010,978,nhhmem65,54638,.4225447490757349,.6896422592765917,0,4
France,2010,978,nhhmem17,54638,.4965591712727406,.9206572302459067,0,9
France,2010,978,pitotal,124559,16280.8231343357,22499.90152529715,-66176.13720703125,1519491.875
France,2010,978,pxitax,124559,1144.077585722429,1766.255683265598,0,129830
France,2010,978,pxscont,124559,1378.808025009242,2607.4544600804,0,67090.1875
France,2010,978,pxvcont,124559,0,0,0,0
France,2010,978,pipension,124559,4385.944652734848,9713.576635876785,0,738380
France,2010,978,pi31,124559,0,0,0,0
France,2010,978,pi32,124559,0,0,0,0
France,2010,978,ppopwgt,124559,494.4235663420548,303.4146049061615,38,10673
France,2010,978,disabled,0,.,.,.,.
France,2010,978,age,124558,40.98651230751939,23.95845214228124,0,99
France,2011,978,dhi,56486,36778.95248373647,34687.46990520774,-115040,2651810
France,2011,978,min,56486,31951.70432283949,48286.03075302137,-134501.546875,3201626
France,2011,978,hitotal,56486,45306.5657055024,47692.03954249062,-112432.1337890625,3262675.954223633
France,2011,978,hpublic,56486,13097.64773572213,15695.4792733838,0,956030
France,2011,978,tax,56486,6277.262153453953,11697.18826973305,-5030,659160
France,2011,978,hxitax,56486,5196.16736890557,11230.94566336561,-6130,653100
France,2011,978,hxptax,56486,540.5473922741918,497.4784443530453,0,7900
France,2011,978,hxotax,56486,540.5473922741918,497.4784443530453,0,7900
France,2011,978,hxscont,56486,3331.445852860369,4597.2369301368,0,114803.8828125
France,2011,978,hxvcont,56486,0,0,0,0
France,2011,978,hipension,56486,10229.72612682789,16212.5854348008,0,956030
France,2011,978,hi31,56486,62.51726091420883,608.2616272185102,0,14710
France,2011,978,hi32,56486,0,0,0,0
France,2011,978,hipubsoc,56486,2867.921608894239,5253.898601611098,0,99000
France,2011,978,dhi,56486,36778.95248373647,34687.46990520774,-115040,2651810
France,2011,978,pwgt,56486,1095.401144608701,840.259564904024,150.2591400146484,20295.96875
France,2011,978,nhhmem1864,56486,1.361151435753992,1.028413807721293,0,8
France,2011,978,nhhmem,56486,2.286318733845555,1.294040015322355,1,15
France,2011,978,nhhmem65,56486,.4204404631236058,.6892227873884668,0,4
France,2011,978,nhhmem17,56486,.5047268349679567,.9289367962785622,0,11
France,2011,978,pitotal,129145,16905.21584607231,23598.91266197824,-139301.541015625,1262409.265625
France,2011,978,pxitax,129145,1192.184211545162,1844.46542346683,0,100020
France,2011,978,pxscont,129145,1457.122230397389,2773.690610441028,0,89641.7109375
France,2011,978,pxvcont,129145,0,0,0,0
France,2011,978,pipension,129145,4446.977893065934,10063.51780640947,0,942560
France,2011,978,pi31,129145,0,0,0,0
France,2011,978,pi32,129145,0,0,0,0
France,2011,978,ppopwgt,129145,479.1113016330478,230.8392394070609,69.34161237553475,7495.889587940629
France,2011,978,disabled,0,.,.,.,.
France,2011,978,age,129145,40.91291958651129,23.90502815005206,0,99
France,2012,978,dhi,56162,36900.35415399566,32630.62684199501,-557320,1473380
France,2012,978,min,56162,31961.47220301726,47589.77522013195,-554342.5625,2531905.25
France,2012,978,hitotal,56162,45796.87264203876,46582.09733060555,-550302.57421875,2542425.181640625
France,2012,978,hpublic,56162,13585.28221929418,16133.06542476002,0,970380
France,2012,978,tax,56162,6648.928813076457,12852.9316344905,-9410,1181470
France,2012,978,hxitax,56162,5527.124390157046,12377.27899987589,-9410,1174590
France,2012,978,hxptax,56162,560.9022114597059,515.169003640572,0,10800
France,2012,978,hxotax,56162,560.9022114597059,515.169003640572,0,10800
France,2012,978,hxscont,56162,3369.394097886053,4696.778340729225,0,123499.23828125
France,2012,978,hxvcont,56162,0,0,0,0
France,2012,978,hipension,56162,10631.71842170863,16683.35018937559,0,970380
France,2012,978,hi31,56162,65.26850895623375,638.9648931670414,0,14410
France,2012,978,hi32,56162,0,0,0,0
France,2012,978,hipubsoc,56162,2953.563797585556,5420.661683941594,0,135730
France,2012,978,dhi,56162,36900.35415399566,32630.62684199501,-557320,1473380
France,2012,978,pwgt,56162,1106.317492360781,877.5765484083818,151.8755340576172,33238.2109375
France,2012,978,nhhmem1864,56161,1.349513007247022,1.03636178408915,0,8
France,2012,978,nhhmem,56162,2.286439229372173,1.291789926541473,1,15
France,2012,978,nhhmem65,56161,.4354801374619398,.6972481302192604,0,4
France,2012,978,nhhmem17,56161,.5014689909367711,.9230366166022107,0,10
France,2012,978,pitotal,128411,17216.85939150214,25342.37194394156,-578088.3461914063,2308302.68359375
France,2012,978,pxitax,128411,1236.687433319575,2019.935545063422,0,201330
France,2012,978,pxscont,128411,1473.64253315897,2811.195451395005,0,118362.546875
France,2012,978,pxvcont,128411,0,0,0,0
France,2012,978,pipension,128411,4621.356114351574,10357.03049013202,0,956900
France,2012,978,pi31,128411,0,0,0,0
France,2012,978,pi32,128411,0,0,0,0
France,2012,978,ppopwgt,128411,483.8604403725985,263.6440853648359,48.4850073407607,22232.6480962567
France,2012,978,disabled,0,.,.,.,.
France,2012,978,age,128410,41.20777976793084,23.95757210612336,0,99
France,2013,978,dhi,50454,36911.86645260546,28646.46871708255,-136380,1023850
France,2013,978,min,50454,30933.47371583154,44080.80770166594,-112949.609375,2445974.25
France,2013,978,hitotal,50454,45892.46289766035,42494.98451016465,-111399.6105957031,2445974.238037109
France,2013,978,hpublic,50454,14699.85392634875,16522.70489059643,0,315600
France,2013,978,tax,50454,6697.912752209933,13235.01436352459,-6370,1177750
France,2013,978,hxitax,50454,5589.017917310818,12815.91966892332,-7490,1171210
France,2013,978,hxptax,50454,554.447417449558,490.3406279933714,0,8950
France,2013,978,hxotax,50454,554.447417449558,490.3406279933714,0,8950
France,2013,978,hxscont,50454,3391.578527744067,4940.523699356453,0,250914.2380371094
France,2013,978,hxvcont,50454,0,0,0,0
France,2013,978,hipension,50454,11738.62647163753,17186.43324549082,0,298750
France,2013,978,hi31,50454,66.03837158599913,653.3788620104831,0,14620
France,2013,978,hi32,50454,0,0,0,0
France,2013,978,hipubsoc,50454,2961.227454711222,5411.914975581756,0,91520
France,2013,978,dhi,50454,36911.86645260546,28646.46871708255,-136380,1023850
France,2013,978,pwgt,50454,1236.855174817195,1257.837384612309,91.39496612548828,57910.484375
France,2013,978,nhhmem1864,50454,1.316426844254172,1.038161942973211,0,7
France,2013,978,nhhmem,50454,2.277936338050501,1.277111192057542,1,11
France,2013,978,nhhmem65,50454,.4641653783644508,.7121094684335145,0,4
France,2013,978,nhhmem17,50454,.4973441154318786,.9207292417748145,0,8
France,2013,978,pitotal,114931,17428.78129519934,23789.75648037673,-52487.43115234375,2373342.0625
France,2013,978,pxitax,114931,1254.763814810625,1899.606843751144,0,188190
France,2013,978,pxscont,114931,1488.882051307299,2988.7886866994,0,248662.0625
France,2013,978,pxvcont,114931,0,0,0,0
France,2013,978,pipension,114931,5124.194168675118,10687.63233021793,0,285020
France,2013,978,pi31,114931,0,0,0,0
France,2013,978,pi32,114931,0,0,0,0
France,2013,978,ppopwgt,114931,542.9717917494227,408.2624820229888,18.27899269453646,24085.55985032295
