cname,iso2,iso3,dcgroup,rpv5,rpv6
France,fr,fra,1,.6660783135818452,.6920387802627508
France,fr,fra,2,.7275521782396016,.7522280292680191
France,fr,fra,3,.6947782560647155,.7206672112377416
France,fr,fra,4,.5635790666894215,.5929493832588196
France,fr,fra,5,.393674484493207,.4273539221739075
France,fr,fra,6,.3196094367961382,.353661128865212
France,fr,fra,7,.2791408160922317,.3125137634097038
France,fr,fra,8,.2547974193635218,.2875825324441177
France,fr,fra,9,.2401973422952894,.2723308352821211
France,fr,fra,10,.2529482247840937,.2841375262934678
Sweden,se,swe,1,.474688426724502,.5091723172145397
Sweden,se,swe,2,.674903782282738,.7104157027271059
Sweden,se,swe,3,.6158010117496763,.6550241618780863
Sweden,se,swe,4,.4630437761572373,.5024666062889308
Sweden,se,swe,5,.3583002440786904,.3965510786908628
Sweden,se,swe,6,.2824909941637668,.3181745822936676
Sweden,se,swe,7,.2563251115487776,.2908676308695744
Sweden,se,swe,8,.2066889514052679,.2386974812500061
Sweden,se,swe,9,.1902295170359424,.2200597388939541
Sweden,se,swe,10,.1739407848653405,.2022261337658694
South Korea,kr,kor,1,.6127407608365409,.6718199243455121
South Korea,kr,kor,2,.4979418429442781,.5618406704556602
South Korea,kr,kor,3,.3730190476454901,.4372834549292867
South Korea,kr,kor,4,.2986357023066279,.3609645093083053
South Korea,kr,kor,5,.2637214109618968,.3236539671573403
South Korea,kr,kor,6,.2188546999839508,.2767910590771318
South Korea,kr,kor,7,.1980611973070685,.2543183489944894
South Korea,kr,kor,8,.1736803225057137,.2284312026782168
South Korea,kr,kor,9,.1594803918848787,.2127150698051949
South Korea,kr,kor,10,.1544715707048662,.2060971521863022
Japan,jp,jpn,1,.1895655179353354,.2638339111538527
Japan,jp,jpn,2,.1852888956431064,.2635034390700025
Japan,jp,jpn,3,.1551428204106982,.2318981510073136
Japan,jp,jpn,4,.1587575358165875,.2312629224555525
Japan,jp,jpn,5,.1405714998740961,.2106546077102718
Japan,jp,jpn,6,.1311420796364804,.1953777473168109
Japan,jp,jpn,7,.1232495265949058,.1842386574446134
Japan,jp,jpn,8,.121001818660902,.1811557526066768
Japan,jp,jpn,9,.1225551502526727,.1799611905989066
Japan,jp,jpn,10,.1230124133624561,.1792933803843093
United Kingdom,uk,gbr,1,.542878868159788,.5827108674506781
United Kingdom,uk,gbr,2,.6164013644715088,.6624610679567354
United Kingdom,uk,gbr,3,.536350471450401,.5818588142340424
United Kingdom,uk,gbr,4,.4344193697690497,.4781028954672335
United Kingdom,uk,gbr,5,.3696029583169817,.4109870962483247
United Kingdom,uk,gbr,6,.3177695884000374,.3573141162556933
United Kingdom,uk,gbr,7,.2806393395092597,.3179586319965404
United Kingdom,uk,gbr,8,.2478279667410338,.284028953881325
United Kingdom,uk,gbr,9,.2315604541073008,.2662049053507135
United Kingdom,uk,gbr,10,.2295488574408077,.2644266629314364
United States,us,usa,1,.5371890605714538,.5734031157661522
United States,us,usa,2,.5067977452510324,.5470648527109743
United States,us,usa,3,.3925707659631221,.4371638793878185
United States,us,usa,4,.3393519070903814,.3836707262819526
United States,us,usa,5,.3070459928727077,.3508110848604497
United States,us,usa,6,.2896108468185446,.3325272340480795
United States,us,usa,7,.2704959972585978,.3130294327853393
United States,us,usa,8,.2604996467010725,.3026450070391796
United States,us,usa,9,.2549571393111832,.2968306591266241
United States,us,usa,10,.2643485055472709,.3054453022843139
