학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,학교명(한자),학교명(영문),주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장명,"학교대표
번호","학교대표
팩스번호"
대학,1,강릉원주대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 강릉시 죽헌길 7                  ,"7 Jukheon-gil, Gangneung-si, Gangwon-do","7 Jukheon-gil, Gangneung-si, Gangwon-do",25457,1979.3.1,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110
대학,2,강릉원주대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 원주시 흥업면 남원로 150         ,"150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do","150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do",26403,2007.3.1,www.gwnu.ac.kr,반선섭,033-760-8020,033-760-8029
대학,3,강원대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,강원특별자치도 춘천시 강원대학길 1              ,"1 Kangwondaehak-gil, Chuncheon-si, Gangwon-do","1 Kangwondaehak-gil, Chuncheon-si, Gangwon-do",24341,1970.3.1,www.kangwon.ac.kr/,김헌영,033-250-6114,033-251-9556
대학,4,강원대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,강원특별자치도 삼척시 중앙로 346                ,"346 Jungang-ro, Samcheok-si, Gangwon-do","346 Jungang-ro, Samcheok-si, Gangwon-do",25913,2006.3.1,www.kangwon.ac.kr/,김헌영,033-570-6114,033-572-8620
대학,5,경북대학교,본교,대학교,대구,국립,고등교육법,해당없음,기존,庆北大学校,Kyungpook National University,대구광역시 북구 대학로 80                       ,"80, Daehak-ro, Buk-gu, Daegu, Republic of Korea","80, Daehak-ro, Buk-gu, Daegu, Republic of Korea",41566,1946.5.28,www.knu.ac.kr,홍원화,053-950-5114,053-950-2149
대학,7,경상국립대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,慶尙國立大學校,Gyeongsang National University,경상남도 진주시 진주대로 501                    ,"501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea","501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea",52828,1910.4.30,www.gnu.ac.kr,권순기,055-772-1114,055-772-0359
대학,8,공주대학교,본교,대학교,충남,국립,고등교육법,해당없음,기존,公州大学校,Kongju National University,충청남도 공주시 공주대학로 56                   ,"56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea","56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea",32588,1948.7.31,www.kongju.ac.kr,원성수,041-850-8114,041-850-8019
대학,9,군산대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,群山大学校,Kunsan National University,전라북도 군산시 대학로 558                      ,"558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea","558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea",54150,1979.1.18,www.kunsan.ac.kr,이장호,063-469-4114,063-469-5334
대학,10,금오공과대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,金乌工科大学校,Kumoh National Institute Of Technology,경상북도 구미시 대학로 61                       ,"61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea","61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea",39177,1980.3.1,www.kumoh.ac.kr,곽호상,054-478-7114,054-478-7100
대학,11,목포대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,木浦大学校,Mokpo National University,전라남도 무안군 청계면 영산로 1666              ,"1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea","1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea",58554,1946.10.31,www.mokpo.ac.kr,송하철,061-450-2114,061-452-4793
