unicode,uniname,branch,address,latitude,longitude,distance
0000001,강릉원주대학교,본교,강원특별자치도 강릉시 죽헌길 7,37.7706676,128.8701111,167.82329436475436
0000002,강릉원주대학교,제2캠퍼스,강원특별자치도 원주시 흥업면 남원로 150,37.3052063,127.9228986,87.11491967314365
0000003,강원대학교,본교,강원특별자치도 춘천시 강원대학길 1,37.8684418,127.7438324,75.36049206924312
0000004,강원대학교,제2캠퍼스,강원특별자치도 삼척시 중앙로 346,37.4534416,129.1619890,192.51142248156995
0000005,경북대학교,본교,대구광역시 북구 대학로 80,35.8905477,128.6121117,234.52410678376833
0000007,경상국립대학교,본교,경상남도 진주시 진주대로 501,35.1538877,128.0985941,284.06696245692143
0000008,공주대학교,본교,충청남도 공주시 공주대학로 56,36.4702096,127.1410000,120.73056226349335
0000009,군산대학교,본교,전라북도 군산시 대학로 558,35.9470944,126.6814342,180.1046127866227
0000010,금오공과대학교,본교,경상북도 구미시 대학로 61,36.1463163,128.3934519,200.0268221218211
0000011,목포대학교,본교,전라남도 무안군 청계면 영산로 1666,34.9103065,126.4402102,297.14964880370155
0000012,목포해양대학교,본교,전라남도 목포시 해양대학로 91,34.7917765,126.3650530,311.27658584399006
0000013,부경대학교,본교,부산광역시 남구 용소로 45,35.1335487,129.1059875,328.78365575616726
0000014,부산대학교,본교,부산광역시 금정구 부산대학로63번길 2,35.2333798,129.0798453,318.35270042860714
0000019,서울대학교,본교,서울특별시 관악구 관악로 1,37.4640070,126.9522394,10.183718451575883
0000020,순천대학교,본교,전라남도 순천시 중앙로 255,34.9689184,127.4809015,289.935527168585
0000021,안동대학교,본교,경상북도 안동시 경동로 1375,36.5422432,128.7971386,196.03149832080305
0000023,전남대학교,본교,광주광역시 북구 용봉로 45,35.1735350,126.9024000,263.94839319560225
0000024,전남대학교,제2캠퍼스,전라남도 여수시 대학로 50,34.7743417,127.6993875,314.69346250154257
0000025,전북대학교,본교,전라북도 전주시 덕진구 백제대로 567,35.8462574,127.1320049,189.6331669637669
0000027,제주대학교,본교,제주특별자치도 제주시 제주대학로 102,33.4559020,126.5623921,456.007562839624
0000028,창원대학교,본교,경상남도 창원시 의창구 창원대학로 20,35.2457210,128.6929375,298.0354344243687
0000029,충남대학교,본교,대전광역시 유성구 대학로 99,36.3666380,127.3457442,135.2563171331494
0000030,충북대학교,본교,충청북도 청주시 서원구 충대로 1,36.6300483,127.4550701,110.32949877549365
0000031,한국교원대학교,본교,충청북도 청주시 흥덕구 강내면 태성탑연로 250,36.6109885,127.3588709,109.42119377487916
0000032,한국체육대학교,본교,서울특별시 송파구 양재대로 1239,37.5198884,127.1308626,13.075947780588274
0000033,한국해양대학교,본교,부산광역시 영도구 태종로 727,35.0763580,129.0892004,333.16382177735454
0000034,한국교통대학교,본교,충청북도 충주시 대소원면 대학로 50,36.9696921,127.8722520,101.55794055251823
0000035,경남과학기술대학교,본교,경상남도 진주시 동진로 33,35.1810114,128.0939071,281.0962825531576
0000036,서울과학기술대학교,본교,서울특별시 노원구 공릉로 232,37.6316217,127.0783723,11.963162791858084
0000037,한경국립대학교,본교,경기도 안성시 중앙로 327,37.0116670,127.2640718,64.67985853327727
0000039,한밭대학교,본교,대전광역시 유성구 동서대로 125,36.3520635,127.3014114,135.96475864998254
0000040,서울시립대학교,본교,서울특별시 동대문구 서울시립대로 163,37.5836390,127.0588564,7.205735630107919
0000046,가톨릭대학교,본교,경기도 부천시 원미구 지봉로 43,37.4862534,126.8016995,17.994945476261897
0000048,가톨릭대학교,제2캠퍼스,서울특별시 서초구 반포대로 222,37.5017271,127.0047035,5.677421961551438
0000049,가톨릭대학교,제3캠퍼스,서울특별시 종로구 창경궁로 296-12,37.5859764,127.0043558,4.117614077624769
0000050,감리교신학대학교,본교,서울특별시 서대문구 독립문로 56,37.5675717,126.9621585,2.9358807132965103
0000051,강남대학교,본교,경기도 용인시 기흥구 강남로 40,37.2747616,127.1327214,33.237311327441525
0000052,건국대학교,본교,서울특별시 광진구 능동로 120,37.5438883,127.0759546,7.794432702953727
0000053,건국대학교(글로컬),분교,충청북도 충주시 충원대로 268,36.9494179,127.9075320,105.41281955667372
