jrank, uniname,            sourcename, sourcedate, year
1,     한국과학기술원,     중앙일보,   09/26/1995, 1995
2,     포항공과대학교,     중앙일보,   09/26/1995, 1995
3,     서울대학교,         중앙일보,   09/26/1995, 1995
4,     연세대학교,         중앙일보,   09/26/1995, 1995
5,     고려대학교,         중앙일보,   09/26/1995, 1995
6,     서강대학교,         중앙일보,   09/26/1995, 1995
7,     아주대학교,         중앙일보,   09/26/1995, 1995
8,     한양대학교,         중앙일보,   09/26/1995, 1995
9,     인하대학교,         중앙일보,   09/26/1995, 1995
10,    경희대학교,         중앙일보,   09/26/1995, 1995
1,     포항공과대학교,     중앙일보,   09/24/1996, 1996
2,     한국과학기술원,     중앙일보,   09/24/1996, 1996
3,     서울대학교,         중앙일보,   09/24/1996, 1996
4,     연세대학교,         중앙일보,   09/24/1996, 1996
5,     한양대학교,         중앙일보,   09/24/1996, 1996
6,     고려대학교,         중앙일보,   09/24/1996, 1996
7,     가톨릭대학교,       중앙일보,   09/24/1996, 1996
8,     서강대학교,         중앙일보,   09/24/1996, 1996
9,     아주대학교,         중앙일보,   09/24/1996, 1996
10,    성균관대학교,       중앙일보,   09/24/1996, 1996
11,    강원대학교,         중앙일보,   09/24/1996, 1996
11,    경북대학교,         중앙일보,   09/24/1996, 1996
11,    경희대학교,         중앙일보,   09/24/1996, 1996
11,    부산대학교,         중앙일보,   09/24/1996, 1996
11,    울산대학교,         중앙일보,   09/24/1996, 1996
11,    이화여자대학교,     중앙일보,   09/24/1996, 1996
11,    인하대학교,         중앙일보,   09/24/1996, 1996
11,    중앙대학교,         중앙일보,   09/24/1996, 1996
11,    한림대학교,         중앙일보,   09/24/1996, 1996
11,    홍익대학교,         중앙일보,   09/24/1996, 1996
1,     포항공과대학교,     중앙일보,   09/26/1997, 1997
2,     한국과학기술원,     중앙일보,   09/26/1997, 1997
3,     서울대학교,         중앙일보,   09/26/1997, 1997
4,     연세대학교,         중앙일보,   09/26/1997, 1997
5,     고려대학교,         중앙일보,   09/26/1997, 1997
6,     한양대학교,         중앙일보,   09/26/1997, 1997
7,     아주대학교,         중앙일보,   09/26/1997, 1997
8,     서강대학교,         중앙일보,   09/26/1997, 1997
9,     가톨릭대학교,       중앙일보,   09/26/1997, 1997
10,    경희대학교,         중앙일보,   09/26/1997, 1997
11,    성균관대학교,       중앙일보,   09/26/1997, 1997
12,    이화여자대학교,     중앙일보,   09/26/1997, 1997
13,    경북대학교,         중앙일보,   09/26/1997, 1997
14,    한림대학교,         중앙일보,   09/26/1997, 1997
15,    부산대학교,         중앙일보,   09/26/1997, 1997
16,    인제대학교,         중앙일보,   09/26/1997, 1997
17,    충남대학교,         중앙일보,   09/26/1997, 1997
18,    홍익대학교,         중앙일보,   09/26/1997, 1997
18,    울산대학교,         중앙일보,   09/26/1997, 1997
20,    대진대학교,         중앙일보,   09/26/1997, 1997
1,     한국과학기술원,     중앙일보,   09/21/1998, 1998
2,     포항공과대학교,     중앙일보,   09/21/1998, 1998
3,     서울대학교,         중앙일보,   09/21/1998, 1998
4,     연세대학교,         중앙일보,   09/21/1998, 1998
5,     고려대학교,         중앙일보,   09/21/1998, 1998
6,     서강대학교,         중앙일보,   09/21/1998, 1998
7,     성균관대학교,       중앙일보,   09/21/1998, 1998
7,     한양대학교,         중앙일보,   09/21/1998, 1998
9,     아주대학교,         중앙일보,   09/21/1998, 1998
10,    가톨릭대학교,       중앙일보,   09/21/1998, 1998
11,    이화여자대학교,     중앙일보,   09/21/1998, 1998
12,    경희대학교,         중앙일보,   09/21/1998, 1998
13,    전남대학교,         중앙일보,   09/21/1998, 1998
14,    경북대학교,         중앙일보,   09/21/1998, 1998
15,    부산대학교,         중앙일보,   09/21/1998, 1998
16,    한림대학교,         중앙일보,   09/21/1998, 1998
17,    울산대학교,         중앙일보,   09/21/1998, 1998
17,    중앙대학교,         중앙일보,   09/21/1998, 1998
19,    인제대학교,         중앙일보,   09/21/1998, 1998
20,    건국대학교,         중앙일보,   09/21/1998, 1998
20,    서울시립대학교,     중앙일보,   09/21/1998, 1998
20,    영남대학교,         중앙일보,   09/21/1998, 1998
20,    인하대학교,         중앙일보,   09/21/1998, 1998
1,     한국과학기술원,     중앙일보,   09/27/1999, 1999
2,     포항공과대학교,     중앙일보,   09/27/1999, 1999
3,     서울대학교,         중앙일보,   09/27/1999, 1999
4,     연세대학교,         중앙일보,   09/27/1999, 1999
5,     고려대학교,         중앙일보,   09/27/1999, 1999
6,     한양대학교,         중앙일보,   09/27/1999, 1999
7,     서강대학교,         중앙일보,   09/27/1999, 1999
7,     성균관대학교,       중앙일보,   09/27/1999, 1999
9,     아주대학교,         중앙일보,   09/27/1999, 1999
10,    경희대학교,         중앙일보,   09/27/1999, 1999
10,    이화여자대학교,     중앙일보,   09/27/1999, 1999
12,    가톨릭대학교,       중앙일보,   09/27/1999, 1999
13,    경북대학교,         중앙일보,   09/27/1999, 1999
13,    전남대학교,         중앙일보,   09/27/1999, 1999
15,    부산대학교,         중앙일보,   09/27/1999, 1999
15,    중앙대학교,         중앙일보,   09/27/1999, 1999
17,    울산대학교,         중앙일보,   09/27/1999, 1999
17,    인하대학교,         중앙일보,   09/27/1999, 1999
19,    영남대학교,         중앙일보,   09/27/1999, 1999
20,    전북대학교,         중앙일보,   09/27/1999, 1999
20,    충남대학교,         중앙일보,   09/27/1999, 1999
20,    한림대학교,         중앙일보,   09/27/1999, 1999
23,    동국대학교,         중앙일보,   09/27/1999, 1999
23,    원광대학교,         중앙일보,   09/27/1999, 1999
23,    인제대학교,         중앙일보,   09/27/1999, 1999
23,    홍익대학교,         중앙일보,   09/27/1999, 1999
27,    강원대학교,         중앙일보,   09/27/1999, 1999
