Jrank	uniname	source	mydate
1	한국과학기술원	중앙일보	1995.9.26
2	포항공대학교	중앙일보	1995.9.26
3	서울대학교	중앙일보	1995.9.26
4	연세대학교	중앙일보	1995.9.26
5	고려대학교	중앙일보	1995.9.26
6	서강대학교	중앙일보	1995.9.26
7	아주대학교	중앙일보	1995.9.26
8	한양대학교	중앙일보	1995.9.26
9	인하대학교	중앙일보	1995.9.26
10	경희대학교	중앙일보	1995.9.26
1	포항공대학교	중앙일보	1996.9.24
2	한국과학기술원	중앙일보	1996.9.24
3	서울대학교	중앙일보	1996.9.24
4	연세대학교	중앙일보	1996.9.24
5	한양대학교	중앙일보	1996.9.24
6	고려대학교	중앙일보	1996.9.24
7	가톨릭대학교	중앙일보	1996.9.24
8	서강대학교	중앙일보	1996.9.24
9	아주대학교	중앙일보	1996.9.24
10	성균관대학교	중앙일보	1996.9.24
11	강원대학교	중앙일보	1996.9.24
11	경북대학교	중앙일보	1996.9.24
11	경희대학교	중앙일보	1996.9.24
11	부산대학교	중앙일보	1996.9.24
11	울산대학교	중앙일보	1996.9.24
11	이화여자대학교	중앙일보	1996.9.24
11	인하대학교	중앙일보	1996.9.24
11	중앙대학교	중앙일보	1996.9.24
11	한림대학교	중앙일보	1996.9.24
11	홍익대학교	중앙일보	1996.9.24
1	포항공대학교	중앙일보	1997.9.26
2	한국과학기술원	중앙일보	1997.9.26
3	서울대학교	중앙일보	1997.9.26
4	연세대학교	중앙일보	1997.9.26
5	고려대학교	중앙일보	1997.9.26
6	한양대학교	중앙일보	1997.9.26
7	아주대학교	중앙일보	1997.9.26
8	서강대학교	중앙일보	1997.9.26
9	가톨릭대학교	중앙일보	1997.9.26
10	경희대학교	중앙일보	1997.9.26
11	성균관대학교	중앙일보	1997.9.26
12	이화여자대학교	중앙일보	1997.9.26
13	경북대학교	중앙일보	1997.9.26
14	한림대학교	중앙일보	1997.9.26
15	부산대학교	중앙일보	1997.9.26
16	인제대학교	중앙일보	1997.9.26
17	충남대학교	중앙일보	1997.9.26
18	홍익대학교	중앙일보	1997.9.26
18	울산대학교	중앙일보	1997.9.26
20	대진대학교	중앙일보	1997.9.26
1	한국과학기술원	중앙일보	1998.9.21
2	포항공대학교	중앙일보	1998.9.21
3	서울대학교	중앙일보	1998.9.21
4	연세대학교	중앙일보	1998.9.21
5	고려대학교	중앙일보	1998.9.21
6	서강대학교	중앙일보	1998.9.21
7	성균관대학교	중앙일보	1998.9.21
7	한양대학교	중앙일보	1998.9.21
9	아주대학교	중앙일보	1998.9.21
10	가톨릭대학교	중앙일보	1998.9.21
11	이화여자대학교	중앙일보	1998.9.21
12	경희대학교	중앙일보	1998.9.21
13	전남대학교	중앙일보	1998.9.21
14	경북대학교	중앙일보	1998.9.21
15	부산대학교	중앙일보	1998.9.21
16	한림대학교	중앙일보	1998.9.21
17	울산대학교	중앙일보	1998.9.21
17	중앙대학교	중앙일보	1998.9.21
19	인제대학교	중앙일보	1998.9.21
20	건국대학교	중앙일보	1998.9.21
20	서울시립대학교	중앙일보	1998.9.21
20	영남대학교	중앙일보	1998.9.21
20	인하대학교	중앙일보	1998.9.21
1	한국과학기술원	중앙일보	1999.9.27
2	포항공대학교	중앙일보	1999.9.27
3	서울대학교	중앙일보	1999.9.27
4	연세대학교	중앙일보	1999.9.27
5	고려대학교	중앙일보	1999.9.27
6	한양대학교	중앙일보	1999.9.27
7	서강대학교	중앙일보	1999.9.27
7	성균관대학교	중앙일보	1999.9.27
9	아주대학교	중앙일보	1999.9.27
10	경희대학교	중앙일보	1999.9.27
10	이화여자대학교	중앙일보	1999.9.27
12	가톨릭대학교	중앙일보	1999.9.27
13	경북대학교	중앙일보	1999.9.27
13	전남대학교	중앙일보	1999.9.27
15	부산대학교	중앙일보	1999.9.27
15	중앙대학교	중앙일보	1999.9.27
17	울산대학교	중앙일보	1999.9.27
17	인하대학교	중앙일보	1999.9.27
19	영남대학교	중앙일보	1999.9.27
20	전북대학교	중앙일보	1999.9.27
20	충남대학교	중앙일보	1999.9.27
20	한림대학교	중앙일보	1999.9.27
23	동국대학교	중앙일보	1999.9.27
23	원광대학교	중앙일보	1999.9.27
23	인제대학교	중앙일보	1999.9.27
23	홍익대학교	중앙일보	1999.9.27
27	강원대학교	중앙일보	1999.9.27
27	서울시립대학교	중앙일보	1999.9.27
27	충북대학교	중앙일보	1999.9.27
30	숙명여자대학교	중앙일보	1999.9.27
1	한국과학기술원	중앙일보	2000.9.25
2	포항공대학교	중앙일보	2000.9.25
3	서울대학교	중앙일보	2000.9.25
4	연세대학교	중앙일보	2000.9.25
5	고려대학교	중앙일보	2000.9.25
6	한양대학교	중앙일보	2000.9.25
7	성균관대학교	중앙일보	2000.9.25
8	이화여자대학교	중앙일보	2000.9.25
9	경희대학교	중앙일보	2000.9.25
10	서강대학교	중앙일보	2000.9.25
11	가톨릭대학교	중앙일보	2000.9.25
12	부산대학교	중앙일보	2000.9.25
12	아주대학교	중앙일보	2000.9.25
12	전남대학교	중앙일보	2000.9.25
15	중앙대학교	중앙일보	2000.9.25
16	경북대학교	중앙일보	2000.9.25
16	인하대학교	중앙일보	2000.9.25
18	영남대학교	중앙일보	2000.9.25
18	울산대학교	중앙일보	2000.9.25
18	인제대학교	중앙일보	2000.9.25
18	충남대학교	중앙일보	2000.9.25
1	한국과학기술원	중앙일보	2001.9.24
2	포항공대학교	중앙일보	2001.9.24
3	서울대학교	중앙일보	2001.9.24
4	연세대학교	중앙일보	2001.9.24
5	고려대학교	중앙일보	2001.9.24
6	성균관대학교	중앙일보	2001.9.24
7	서강대학교	중앙일보	2001.9.24
7	한양대학교	중앙일보	2001.9.24
9	이화여자대학교	중앙일보	2001.9.24
10	경희대학교	중앙일보	2001.9.24
11	가톨릭대학교	중앙일보	2001.9.24
