uniname,zipcode,branch,branchdtl,school,schooldtl,address
가야대학교,50830,본교,본교(제1캠퍼스),4년제,대학교,경상남도 김해시 삼계로 208 
가천대학교,13120,본교,본교(제1캠퍼스),4년제,대학교,경기도 성남시 수정구 성남대로 1342 
가톨릭관동대학교,25601,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 강릉시 범일로579번길 24 
가톨릭꽃동네대학교,28211,본교,본교(제1캠퍼스),4년제,대학교,충청북도 청주시 서원구 현도면 상삼길 133 
가톨릭대학교,14662,본교,본교(제1캠퍼스),4년제,대학교,경기도 부천시 원미구 지봉로 43 
감리교신학대학교,3745,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 서대문구 독립문로 56 
강남대학교,16979,본교,본교(제1캠퍼스),4년제,대학교,경기도 용인시 기흥구 강남로 40 
강릉원주대학교,25457,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 강릉시 죽헌길 7 
강릉원주대학교,26403,캠퍼스,본교(제2캠퍼스),4년제,대학교,강원특별자치도 원주시 흥업면 남원로 150 
강서대학교,7661,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 강서구 까치산로24길 47 
강원대학교,24341,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 춘천시 강원대학길 1 
강원대학교,25913,캠퍼스,본교(제2캠퍼스),4년제,대학교,강원특별자치도 삼척시 중앙로 346 
건국대학교,5029,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 광진구 능동로 120 
건국대학교,27478,분교,분교(제1캠퍼스),4년제,대학교,충청북도 충주시 충원대로 268 
건양대학교,35365,캠퍼스,본교(제2캠퍼스),4년제,대학교,대전광역시 서구 관저동로 158 
건양대학교,32992,본교,본교(제1캠퍼스),4년제,대학교,충청남도 논산시 대학로 121 
경기대학교,16227,본교,본교(제1캠퍼스),4년제,대학교,경기도 수원시 영통구 광교산로 154-42 
경남대학교,51767,본교,본교(제1캠퍼스),4년제,대학교,경상남도 창원시 마산합포구 경남대학로 7 
경동대학교,26495,캠퍼스,본교(제3캠퍼스),4년제,대학교,강원특별자치도 원주시 문막읍 견훤로 815 
경동대학교,24764,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 고성군 토성면 봉포4길 46 
경동대학교,24865,캠퍼스,,4년제,대학교,강원특별자치도 속초시 도리원길 5 
경북대학교,41944,캠퍼스,본교(제2캠퍼스),4년제,대학교,대구 중구 국채보상로 680
경북대학교,41566,본교,본교(제1캠퍼스),4년제,대학교,대구광역시 북구 대학로 80 
경북대학교,37224,캠퍼스,본교(제3캠퍼스),4년제,대학교,경북 상주시 경상대로 2559
경상국립대학교,52828,본교,본교(제1캠퍼스),4년제,대학교,경상남도 진주시 진주대로 501 
