uniname,zipcode,address,latitude,longitude,distance
가야대학교,50830,경상남도 김해시 삼계로 208 ,35.2693690,128.8725421,304.41170689475734
가천대학교,13120,경기도 성남시 수정구 성남대로 1342 ,37.4523915,127.1307015,16.700275430634616
가톨릭관동대학교,25601,강원특별자치도 강릉시 범일로579번길 24 ,37.7358498,128.8739922,167.6844983898027
가톨릭꽃동네대학교,28211,충청북도 청주시 서원구 현도면 상삼길 133 ,36.5221196,127.4011946,119.96650536729842
가톨릭대학교,14662,경기도 부천시 원미구 지봉로 43 ,37.4862534,126.8016995,17.994945476261897
감리교신학대학교,3745,서울특별시 서대문구 독립문로 56 ,37.5675717,126.9621585,2.9358807132965103
강남대학교,16979,경기도 용인시 기흥구 강남로 40 ,37.2747616,127.1327214,33.237311327441525
강릉원주대학교,25457,강원특별자치도 강릉시 죽헌길 7 ,37.7706676,128.8701111,167.82329436475436
강릉원주대학교,26403,강원특별자치도 원주시 흥업면 남원로 150 ,37.3052063,127.9228986,87.11491967314365
강서대학교,7661,서울특별시 강서구 까치산로24길 47 ,37.5486642,126.8548188,11.792098519017369
강원대학교,24341,강원특별자치도 춘천시 강원대학길 1 ,37.8684418,127.7438324,75.36049206924312
강원대학교,25913,강원특별자치도 삼척시 중앙로 346 ,37.4534416,129.1619890,192.51142248156995
건국대학교,5029,서울특별시 광진구 능동로 120 ,37.5438883,127.0759546,7.794432702953727
건국대학교,27478,충청북도 충주시 충원대로 268 ,36.9494179,127.9075320,105.41281955667372
건양대학교,35365,대전광역시 서구 관저동로 158 ,36.3066420,127.3426130,141.67571864683603
건양대학교,32992,충청남도 논산시 대학로 121 ,36.1827999,127.1114387,152.25183752347468
경기대학교,16227,경기도 수원시 영통구 광교산로 154-42 ,37.3005585,127.0347399,28.117208153882522
경남대학교,51767,경상남도 창원시 마산합포구 경남대학로 7 ,35.1801979,128.5532458,298.2269121085012
경동대학교,26495,강원특별자치도 원주시 문막읍 견훤로 815 ,37.2654572,127.7938647,78.05660839069286
경동대학교,24764,강원특별자치도 고성군 토성면 봉포4길 46 ,38.2508819,128.5564857,158.28780844838656
경동대학교,24865,강원특별자치도 속초시 도리원길 5 ,38.1928096,128.5523125,154.94899186191873
경북대학교,41944,대구 중구 국채보상로 680,35.8677271,128.6045274,236.11690803498885
경북대학교,41566,대구광역시 북구 대학로 80 ,35.8905477,128.6121117,234.52410678376833
경북대학교,37224,경북 상주시 경상대로 2559,36.3790668,128.1453178,165.9406809175392
경상국립대학교,52828,경상남도 진주시 진주대로 501 ,35.1538877,128.0985941,284.06696245692143
경상국립대학교,53064,경남 통영시 통영해안로 2,34.8393693,128.3995370,326.5734313389221
경상국립대학교,51391,경남 창원시 의창구 차룡로48번길 54,35.2404614,128.6319041,295.7727220414908
경성대학교,48434,부산광역시 남구 수영로 309 ,35.1422457,129.0969338,327.5206918652132
경운대학교,39160,경상북도 구미시 산동면 강동로 730 ,36.1678660,128.4676331,202.40524109414602
경인교육대학교,21044,인천광역시 계양구 계산로 62 ,37.5382510,126.7170352,24.00878936158043
경인교육대학교,13910,경기도 안양시 만안구 삼막로 155 ,37.4342491,126.9164333,14.446501482706285
경일대학교,38428,경상북도 경산시 하양읍 가마실길 50 ,35.9072900,128.8011120,243.92108813698758
경주대학교,38065,경상북도 경주시 태종로 188 ,35.8294000,129.1630500,272.5367167896952
경희대학교,2447,서울특별시 동대문구 경희대로 26 ,37.5964494,127.0525009,7.582520994012081
경희대학교,17104,경기 용인시 기흥구 덕영대로 1732,37.2432813,127.0798264,35.1203419289593
계명대학교,42403,대구 남구 명덕로 104,35.8542150,128.5805250,236.01358622862503
계명대학교,42601,대구광역시 달서구 달구벌대로 1095 ,35.8559248,128.4845959,230.7929109302607
고려대학교,2841,서울특별시 성북구 안암로 145 ,37.5899103,127.0318122,5.771849036002769
고려대학교,30019,세종특별자치시 조치원읍 세종로 2511 ,36.6101822,127.2857059,107.7275570203667
고신대학교,49267,부산 서구 감천로 262 ,35.0809636,129.0139595,328.9573288988782
고신대학교,49104,부산광역시 영도구 와치로 194 ,35.0789636,129.0631300,331.6032891721395
공주교육대학교,32553,충청남도 공주시 웅진로 27 ,36.4448772,127.1192530,123.32631759516525
공주대학교,32439,충남 예산군 예산읍 대학로 54,36.6709846,126.8596098,98.34924463687011
공주대학교,31080,충남 천안시 서북구 천안대로 1223-24,36.8506431,127.1505068,79.06887078937056
공주대학교,32588,충청남도 공주시 공주대학로 56 ,36.4702096,127.1410000,120.73056226349335
광신대학교,61027,광주광역시 북구 양산택지소로 36 ,35.2157286,126.8850710,259.3200501647946
광운대학교,1897,서울특별시 노원구 광운로 20 ,37.6197992,127.0584363,9.822232137375222
광주가톨릭대학교,58230,전라남도 나주시 남평읍 중남길 12-25 ,35.0154500,126.8650625,281.59171918067403
광주과학기술원,61005,광주광역시 북구 첨단과기로 123 ,35.2274076,126.8414788,258.194939475042
광주교육대학교,61204,광주광역시 북구 필문대로 55 ,35.1647158,126.9269527,264.8715274212878
광주대학교,61743,광주광역시 남구 효덕로 277 ,35.1072019,126.8960122,271.32152828236485
광주여자대학교,62396,광주광역시 광산구 광주여대길 40 ,35.1631288,126.7963105,265.5495793869223
국민대학교,2707,서울특별시 성북구 정릉로 77 ,37.6108107,126.9969024,6.663753250449271
군산대학교,54150,전라북도 군산시 대학로 558 ,35.9470944,126.6814342,180.1046127866227
극동대학교,27601,충청북도 음성군 감곡면 대학길 76-32 ,37.1275842,127.6430234,74.67817457449867
